switch_index,G_N_US,G_N_W,nu_b_eff,nu_b_common_growth_implied,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
29,1.0553881655699562,1.0328361817752292,1.0,0.599321359364971,true,2.956063988861018e-16,1.0553881655699562,1.0328361817752292,0.022551983794727004,0.02160003606953366
30,1.0560419867816793,1.0327504808784271,1.0,0.590992620369008,true,1.8933321147585997e-16,1.0560419867816793,1.0327504808784271,0.02329150590325213,0.022302331779873688
31,1.056679225746538,1.0326679235944183,1.0,0.5830759969873822,true,1.0408340855860843e-16,1.056679225746538,1.0326679235944183,0.024011302152119773,0.022985514222203282
32,1.057300900965413,1.0325882935020454,1.0,0.5755372545715715,true,1.457167719820518e-16,1.057300900965413,1.0325882935020454,0.024712607463367675,0.0236507844092837
33,1.0579079516045564,1.0325113938224355,1.0,0.568345884962353,true,1.6762890079641925e-16,1.0579079516045564,1.0325113938224355,0.02539655778212091,0.024299246415788837
34,1.0585012429597616,1.0324370455109455,1.0,0.5614746379167823,true,2.220446049250313e-16,1.0585012429597616,1.0324370455109455,0.02606419744881605,0.02493191473396332
35,1.0590815716052542,1.0323650855477307,1.0,0.5548991194608496,true,7.717209150358236e-17,1.0590815716052542,1.0323650855477307,0.026716486057523525,0.02554972109951835
36,1.0596496704580032,1.0322953654132019,1.0,0.5485974445302384,true,9.412399550256443e-10,1.0596496704580032,1.0322953654132019,0.027354305044801297,0.026153521023278163
37,1.0602062121108808,1.0322277497110635,1.0,0.5425499495329386,true,8.566122816199669e-10,1.0602062121108808,1.0322277497110635,0.027978462399817383,0.02674409851488241
38,1.0607518147837764,1.0321621149491307,1.0,0.5367389190043793,true,7.822182488454e-10,1.0607518147837764,1.0321621149491307,0.028589699834645765,0.02732217309716787
39,1.0612870450003693,1.0320983484285946,1.0,0.5311483730043081,true,7.165337007906954e-10,1.0612870450003693,1.0320983484285946,0.029188696571774697,0.0278884036002469
40,1.0618124214932971,1.0320363472557939,1.0,0.525763870022306,true,6.582920306730801e-10,1.0618124214932971,1.0320363472557939,0.02977607423750328,0.028443392975234315
41,1.0623284185684767,1.0319760174480386,1.0,0.5205723371532992,true,6.064348017043047e-10,1.0623284185684767,1.0319760174480386,0.030352401120438133,0.028987692487234602
42,1.06283546919825,1.0319172731313808,1.0,0.5155619217963939,true,5.600734818745888e-10,1.06283546919825,1.0319172731313808,0.030918196066869186,0.02952180554655076
43,1.0633339679147786,1.0318600358142371,1.0,0.5107218613283403,true,5.184598699288364e-10,1.0633339679147786,1.0318600358142371,0.0314739321005415,0.030046191262958197
44,1.0638242734715275,1.0318042337340227,1.0,0.5060423687205308,true,4.809616183026014e-10,1.0638242734715275,1.0318042337340227,0.03202003973750478,0.030561267697245702
