t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
38,false,10.552539460088644,0.5157483963459963,0.04887433951767132,0.034673276461743605,0.01016599542669644,-0.031577777529329214,-0.021411782102632775,0.1509088595662079,-0.05128529234966634,-0.011858302738613768,0.08776526447792779,-9.020562075079397e-17,0.0037843693700190793,-0.05710801260206358,-0.05332364323204447,0.19886852616564185,-0.09105954874927427,-0.019812057722579525,0.08799691969378809,7.068735421376582e-18
39,false,11.19854529258108,0.5895342235940557,0.0526438218707403,0.03926196964282967,0.011229208930608352,-0.033242369418730315,-0.022013160488121963,0.16193179561038779,-0.05375135432301889,-0.012381453551187471,0.09579898773618142,-8.326672684688674e-17,0.004568800205967917,-0.05678210064574258,-0.052213300439774644,0.20185655424732282,-0.09060648586114158,-0.01977479830357694,0.09147527008260434,-7.745307228100615e-19
40,false,11.894114411313328,0.6715030196623575,0.0564567479713869,0.04385746793332502,0.01240093197222942,-0.03502545809755522,-0.022624526125325804,0.17387626030719033,-0.05635121341022554,-0.012931724703337255,0.10459332219362755,2.0816681711721685e-17,0.005344227053260385,-0.05640624940925896,-0.05106202235599856,0.20467064141695818,-0.09004554791478313,-0.01970560321285149,0.09491949028932359,1.0209305133543636e-18
41,false,12.643548198397381,0.7624882788002387,0.06030651102329701,0.048454040820994214,0.013694309114267628,-0.03693664409877957,-0.023242334984511944,0.1868323711593398,-0.059093567036221234,-0.013511210000725249,0.1142275941223933,-1.1449174941446927e-16,0.006110559782227542,-0.055984207674812506,-0.049873647892584944,0.20731588599011888,-0.08938199929567976,-0.019606197980859965,0.09832768871357918,-8.094933754086904e-18
42,false,13.451585011572977,0.8634161817214014,0.06418694755886145,0.05304645533107153,0.015124187627132612,-0.0389864543385779,-0.023862266711445285,0.2009001517167748,-0.06198778955678771,-0.014122192527379007,0.12479016963260808,-8.326672684688674e-17,0.006867840828678091,-0.05551951549067507,-0.048651674661996956,0.20979747339055718,-0.0886210364574306,-0.019478306940058095,0.10169812999306851,-1.379877626092579e-17
43,false,14.323450087014795,0.9753167376575114,0.0680923053965681,0.05762993233962282,0.016707381729621898,-0.041186424647755134,-0.024479042918133236,0.21619074219066953,-0.06504399645939989,-0.014767146877026682,0.13637959885424294,2.1510571102112408e-16,0.00761623252916107,-0.05501550969108353,-0.04739927716192243,0.2121206324076487,-0.08776777902971283,-0.019323643876390614,0.10502920950154526,2.0588823860489263e-18
44,false,15.264911866902738,1.09933637561303,0.07201721079023081,0.06220010345417054,0.018462950008894276,-0.043549228647166593,-0.025086278638272317,0.23282780265874525,-0.0682731083420695,-0.015448777722884888,0.14910591659379085,1.97758476261356e-16,0.008356004777727685,-0.05447533159507226,-0.04611932681734455,0.21429059806549858,-0.08682726255341505,-0.019143905240568457,0.1083194302715151,1.488700212188455e-17
45,false,16.28234569064629,1.2367522866783918,0.0759566410255537,0.06675297460548915,0.020412545474572674,-0.04608877996899563,-0.025676234494422957,0.2509490818929699,-0.07168692296732458,-0.016170013365860436,0.16309214555978485,-2.3245294578089215e-16,0.009087524904412638,-0.05390193356429343,-0.04481440865988077,0.21631257818656982,-0.08580443260655123,-0.018940762314648665,0.11156738326536994,-3.1962043594984336e-19
46,false,17.382805872329175,1.3889886088270673,0.07990589200781038,0.07128488574601725,0.02258078577275417,-0.04882041013664283,-0.026239624363888662,0.27070823901083524,-0.07529820615686943,-0.01693408634140181,0.178475946512564,2.255140518769849e-16,0.009811247332068722,-0.05329808850362419,-0.04348684117155544,0.2181917259006536,-0.084704141003515,-0.018715857979565913,0.11477172691757272,1.2674011495448778e-17
47,false,18.574107441291247,1.5576349488308083,0.08386055447101062,0.07579248020437085,0.024995724641234684,-0.05176098983883699,-0.02676526519760231,0.29227688597481927,-0.07912077327241274,-0.017744507501062712,0.19541160520134382,-4.961309141293668e-16,0.010527705462997954,-0.05266639695907511,-0.04213869149607714,0.21993311458794654,-0.08353114236164086,-0.018470800525857707,0.11793117170044802,-1.4849759728811907e-17
