sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,33,32,0.017386034666543582,-0.055102032162185344,-3.235245763498249e-5,-0.05506967970455036,0.07248806682872892,0.1753276558935277,-0.09420434135436598,-0.008635247710432793,1.6026539185385806,0.974113284602078,0.27451585222597674,0.2085659902342189
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,34,33,0.021632815000123692,-0.05448502285926517,0.0006928664086263125,-0.055177889267891474,0.07611783785938887,0.17947373498538735,-0.09453030581514751,-0.008825591310850983,1.6259096591460673,0.9768167386416392,0.27440317464973946,0.20602185253403507
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,35,34,0.02591550272197543,-0.05381322878033391,0.0014095948216631632,-0.055222823601997074,0.07972873150230937,0.18345438587877422,-0.09472647918860042,-0.008999175187864469,1.649668589672988,0.9796376100574878,0.2742977413704506,0.20339290742230012
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,36,35,0.030226443410124027,-0.05309128448598009,0.0021170469301818227,-0.05520833141616192,0.08331772789610412,0.1872717023206783,-0.0947977333625447,-0.009156241062029537,1.673959652457045,0.9825763780558374,0.2741994644306657,0.2006870413656749
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,37,36,0.03455871749335281,-0.052323413089320515,0.0028146460940768926,-0.0551380591833974,0.08688213058267333,0.19092809299829,-0.09474891989565457,-0.009297042519962153,1.698812820888572,0.985634074612657,0.2741081884844665,0.19791156477446908
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,38,37,0.03890607414003562,-0.05151345295958881,0.003502003256891683,-0.055015456216480484,0.09041952709962446,0.19442622648319857,-0.09458485405125902,-0.009421845332315142,1.724259210523578,0.9888122685520154,0.2740237019037624,0.1950732535736069
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,39,38,0.043262870530724334,-0.05066488284632541,0.004178897749092348,-0.05484378059541774,0.0939277533770498,0.1977689823310149,-0.09431030160545713,-0.009530927348508028,1.7503311938482435,0.9921130554563194,0.27394574673251954,0.19217838857992806
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,40,39,0.04762401092737827,-0.04978084939335792,0.004845258905476183,-0.05462610829883408,0.09740486032073621,0.20095940894058506,-0.0939299684499803,-0.009624580169868599,1.777062543941451,0.9955390476446013,0.2738740274481617,0.18923279563946493
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,41,40,0.05198489270957181,-0.04886419170767992,0.005501150034900719,-0.054365341742580627,0.10084908441725177,0.2040006859697145,-0.09344849208881119,-0.009703109463651577,1.8044885794959111,0.9990933702025027,0.27380821852587056,0.18624188222177265
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,42,41,0.056341357570793754,-0.04791746309362973,0.006146754701334625,-0.05406421779496434,0.10425882066442352,0.206896090712585,-0.09287043516384764,-0.009766834884313878,1.8326463125224541,1.0027796634920738,0.2737479710650425,0.18321067121087953
