t,n,n_next,phi,rd_share,G,e,D_agg,d_per,C_old,young_saving,q,V,B,bubble_share,fundamental_share,PD_pv,PD_agg,dividend_yield,market_value,market_fundamental,market_bubble,cond_2_15a,cond_2_15b,mc_resid,mc_resid_abs
44,85.9324726659414,99.02435062667375,0.2382461743172204,0.7617538256827796,1.1523507651365559,1596.7091127598374,33.011635790201005,0.3841578714781343,831.3661921701197,798.3545563799187,8.06220441060756,5.714449898113885,2.347754512493675,0.2912050343705873,0.7087949656294127,20.986695859143545,24.184035030972254,0.04764923486344407,798.3545563799186,565.8696903493894,232.4848660305292,0.02067479638363304,0.03310694860004175,-3.410605131648481e-13,3.410605131648481e-13
45,99.02435062667375,114.27161623657172,0.23012544321644446,0.7698745567835555,1.153974911356711,1980.999062597165,39.50504320371787,0.3989427141274943,1030.0045745023003,990.4995312985825,8.667940158017833,6.006702905941655,2.661237252076178,0.30702072275089914,0.6929792772491008,21.72728026121497,25.07273631345796,0.04602508864328889,990.4995312985826,686.395649314865,304.10388198371766,0.01994197975637871,0.029732287231770918,1.1368683772161603e-13,1.1368683772161603e-13
46,114.27161623657172,132.04773385465464,0.22219890627599964,0.7778010937240003,1.1555602187448,2462.7922441582346,47.356228966707576,0.414418125220772,1278.7523510458248,1231.3961220791173,9.32538625338712,6.313788834627713,3.0115974187594063,0.32294613187368504,0.677053868126315,22.50236098727397,26.00283318472876,0.04443978125519993,1231.3961220791173,833.7215076494103,397.674614429707,0.0192286739082588,0.02667420524469153,0.0,0.0
47,132.04773385465464,152.79328928285472,0.21446757083181828,0.7855324291681818,1.1571064858336364,3067.8429219945892,56.86190745873707,0.4306163066859228,1590.7833684560317,1533.9214609972946,10.039193921387875,6.6364245605353815,3.4027693608524934,0.33894846413944707,0.6610515358605529,23.313547967216508,26.97625756065981,0.04289351416636367,1533.9214609972942,1014.0011376817246,519.9203233155697,0.018534817102620015,0.02390673455647396,0.0,0.0
48,152.79328928285472,177.0283827892657,0.20693200532039163,0.7930679946796084,1.1586135989359216,3828.9274379813596,68.3858392215861,0.447570960364552,1982.849558212266,1914.4637189906798,10.814445055794545,6.975359498408956,3.8390855573855887,0.35499607585768334,0.6450039241423167,24.16252619916638,27.995031438999654,0.04138640106407833,1914.4637189906784,1234.836611377081,679.6271076135974,0.01786031214465627,0.021405541322666803,-1.3642420526593924e-12,1.3642420526593924e-12
49,177.0283827892657,205.3673568562959,0.19959235856645396,0.800407641433546,1.1600815282867092,4787.8083414507955,82.37437938052672,0.4653173580565612,2476.2785501059243,2393.9041707253978,11.656692706039506,7.331376865096159,4.325315840943347,0.3710585798236181,0.6289414201763819,25.05105924851956,29.06127109822347,0.0399184717132908,2393.904170725397,1505.6254889021948,888.278681823202,0.01720502858632928,0.01914788895036909,-9.094947017729282e-13,9.094947017729282e-13
50,205.3673568562959,238.53630519545905,0.19244838013928312,0.8075516198607169,1.1615103239721434,5997.759433634572,99.37570623743854,0.4838924148348262,3098.2554230547244,2998.879716817286,12.572005399178016,7.705295025313623,4.866710373864393,0.3871069268060121,0.6128930731939879,25.98099291031333,30.177191492375997,0.03848967602785663,2998.879716817286,1837.9926057792627,1160.8871110380235,0.01656880495742358,0.01711259215343728,9.094947017729282e-13,9.094947017729282e-13
51,238.53630519545905,277.3938959535374,0.18549944155800413,0.8145005584419959,1.1629001116883992,7526.814661882629,120.063615305933,0.5033347657814674,3883.4709462472474,3763.4073309413143,13.567015661987284,8.097968925086576,5.469046736900707,0.403113468220144,0.596886531779856,26.95425904253486,31.345110851041834,0.037099888311600826,3763.4073309413134,2246.327149440445,1517.080181500868,0.015951451005424697,0.015279963660306352,-9.094947017729282e-13,9.094947017729282e-13
52,277.3938959535374,322.95614527192004,0.17874455813522794,0.8212554418647721,1.1642510883729544,9461.951796699466,145.26697976820716,0.5236848463044007,4876.242878117941,4730.975898349733,14.64897314267354,8.510291618093012,6.138681524580528,0.41905200212963023,0.5809479978703698,27.972879578338183,32.56745549400582,0.03574891162704559,4730.975898349731,2748.4509761192503,1982.5249222304808,0.015352749928284292,0.01363175507686836,-1.8189894035458565e-12,1.8189894035458565e-12
53,322.95614527192004,376.42590076153266,0.1721824112590798,0.8278175887409203,1.165563517748184,11914.484125734463,176.00624714475677,0.5449849762002963,6133.248310011988,5957.242062867232,15.825802769722719,8.94319588979456,6.88260687992816,0.43489780455849497,0.565102195441505,29.038970725509177,33.84676487061101,0.03443648225181596,5957.242062867233,3366.4505685027534,2590.791494364479,0.014772460585565382,0.012151093287604395,9.094947017729282e-13,9.094947017729282e-13
