date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2003-07-01,2002M01-2007M12,Commodity exporters,39.400000,0.0277660324,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,Core EU-27 (identifiable),104.100000,0.0733615222,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,Financial/offshore centres,234.400000,0.1651867512,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,Other East Asian exporters,104.600000,0.0737138830,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,United Kingdom,78.400000,0.0552501762,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,Mainland China,151.300000,0.1066243834,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,Japan,463.100000,0.3263565891,1419.000000,Economic-function and custody-role grouping
2003-08-01,2002M01-2007M12,All other foreign,211.900000,0.1466537477,1444.900000,Economic-function and custody-role grouping
2003-08-01,2002M01-2007M12,Canada & other advanced,36.500000,0.0252612638,1444.900000,Economic-function and custody-role grouping
2003-08-01,2002M01-2007M12,Commodity exporters,41.100000,0.0284448751,1444.900000,Economic-function and custody-role grouping
2003-08-01,2002M01-2007M12,Core EU-27 (identifiable),106.800000,0.0739151498,1444.900000,Economic-function and custody-role grouping
2003-08-01,2002M01-2007M12,Financial/offshore centres,238.700000,0.1652017441,1444.900000,Economic-function and custody-role grouping
