date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,TIC_classification_vintage
2004-08-01,2002M01-2007M12,United Kingdom,61.400000,0.0346873058,1770.100000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,Mainland China,201.600000,0.1138918705,1770.100000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,Japan,699.400000,0.3951189198,1770.100000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,All other foreign,331.400000,0.1846753970,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,EU-27 (identifiable),193.800000,0.1079966565,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,Middle East (reported/bridge),86.700000,0.0483142937,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,Four Asian dragons,186.200000,0.1037614935,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,Canada,26.100000,0.0145444413,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,United Kingdom,62.000000,0.0345500139,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,Mainland China,209.400000,0.1166898858,1794.500000,pre-2012 TIC classification
2004-09-01,2002M01-2007M12,Japan,698.900000,0.3894678183,1794.500000,pre-2012 TIC classification
2004-10-01,2002M01-2007M12,All other foreign,342.100000,0.1887240029,1812.700000,pre-2012 TIC classification
2004-10-01,2002M01-2007M12,EU-27 (identifiable),193.800000,0.1069123407,1812.700000,pre-2012 TIC classification
2004-10-01,2002M01-2007M12,Middle East (reported/bridge),88.700000,0.0489325316,1812.700000,pre-2012 TIC classification
2004-10-01,2002M01-2007M12,Four Asian dragons,188.000000,0.1037126938,1812.700000,pre-2012 TIC classification
