survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,529431.0,529.431,0.10078753978009652,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,252882.75,252.88275,0.09200995987524505,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,291462.0,291.462,0.10604680202646749,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,1086.0,1.086,0.0003951349644232994,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),596800.25,596.80025,0.21714239921875342,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,741985.0,741.985,0.26996705025563705,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,86482.0,86.482,0.03146598710244547,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,376861.0,376.861,0.13711874569754057,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,53269.0,53.269,0.019381624696008046,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,347600.0,347.6,0.12647229616347963,2748428.0,2748.428,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,504421.75,504.42175,0.12625394370127863,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,492805.0,492.805,0.12334633612787041,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,1326.0,1.326,0.00033189038606661086,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),731292.25,731.29225,0.1830383613725645,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,1066768.0,1066.768,0.2670060658849972,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,164546.0,164.546,0.04118494379013314,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,561670.0,561.67,0.1405828605897687,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,101616.0,101.616,0.025433916644453037,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,370850.0,370.85,0.09282168150286775,3995295.0,3995.295,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,638793.5,638.7935,0.13746635397128584,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,629257.0,629.257,0.135414129137052,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,2177.0,2.177,0.0004684835593904592,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),738672.25,738.67225,0.15895994713043599,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,1244165.25,1244.16525,0.2677404523610108,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,216695.0,216.695,0.04663208309697545,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,626428.0,626.428,0.13480533722638796,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,100624.0,100.624,0.021653968617411836,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,450096.0,450.096,0.09685924490004967,4646908.0,4646.908,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,511016.75,511.01675,0.11352300087216574,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,548837.0,548.837,0.12192481602545675,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,2295.0,2.295,0.0005098370787290639,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),608918.25,608.91825,0.1352719397668034,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,1533928.0,1533.928,0.34076399586087824,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,188456.0,188.456,0.04186573268364465,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,641919.0,641.919,0.1426030970547634,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,74727.0,74.727,0.016600695155636933,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,391341.0,391.341,0.08693688550192183,4501438.0,4501.438,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,619054.75,619.05475,0.1163230710633525,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,602780.0,602.78,0.1132649749889935,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,3069.0,3.069,0.0005766784037977721,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),768610.25,768.61025,0.14442519782098617,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,1811990.0,1811.99,0.3404807757893532,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,228510.0,228.51,0.04293801956723001,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,769231.0,769.231,0.14454183943687327,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,91363.0,91.363,0.01716750374916124,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,427249.0,427.249,0.08028193918025231,5321857.0,5321.857,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,587799.0,587.799,0.09080954265004572,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,629100.0,629.1,0.09719016752519784,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,6338.0,6.338,0.0009791627432438467,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),1032193.0,1032.193,0.1594643309304348,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,2289824.0,2289.824,0.35375676071088635,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,245145.0,245.145,0.03787264920992628,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,978137.0,978.137,0.15111317579493633,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,100574.0,100.574,0.01553775855774797,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,603767.0,603.767,0.09327645187758087,6472877.0,6472.877,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,616521.75,616.52175,0.09165602091913548,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,645428.0,645.428,0.09595340678539853,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,9895.0,9.895,0.0014710532548038177,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),970697.25,970.69725,0.14430998979703033,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,2585694.0,2585.694,0.3844056164352403,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,255431.0,255.431,0.037973987258998886,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,922176.0,922.176,0.13709651402748513,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,129054.0,129.054,0.019185983501308932,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2014-12-31,2014,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,591576.0,591.576,0.08794742802059861,6726473.0,6726.473,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,499804.0,499.804,0.07398895888686441,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada & other advanced,556831.0,556.831,0.08243100488577842,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Commodity exporters,9657.0,9.657,0.001429583148535125,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),1011425.0,1011.425,0.149727258569653,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Financial/offshore centres,2740821.0,2740.821,0.4057400346640975,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Other East Asian exporters,246572.0,246.572,0.036501519737040786,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
2015-12-31,2015,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,896599.0,896.599,0.13272888282007297,6755116.0,6755.116,Economic-function and location-role grouping,Final historical survey
