survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,347600.0,347.6,0.12647229616347963,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,2364720.0,2364.72,0.591876194373632,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,87915.0,87.915,0.022004632949506858,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,45424.0,45.424,0.011369373225256208,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,76631.0,76.631,0.019180310840626286,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,91391.0,91.391,0.02287465631448992,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,295078.0,295.078,0.07385637355939924,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,561670.0,561.67,0.1405828605897687,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,101616.0,101.616,0.025433916644453037,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2009-12-31,2009,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,370850.0,370.85,0.09282168150286775,3995295.0,3995.295,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,2655558.0,2655.558,0.5714677372566876,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,122416.0,122.416,0.02634353854218762,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,56356.0,56.356,0.012127634117137675,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,94279.0,94.279,0.02028854455478783,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,132520.0,132.52,0.02851788759321252,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,408631.0,408.631,0.08793610719213722,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,626428.0,626.428,0.13480533722638796,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,100624.0,100.624,0.021653968617411836,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2010-12-31,2010,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,450096.0,450.096,0.09685924490004967,4646908.0,4646.908,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,2686198.0,2686.198,0.5967421966047294,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,116656.0,116.656,0.025915274185715764,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,47987.0,47.987,0.010660371196937512,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,71800.0,71.8,0.015950458497928883,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,112274.0,112.274,0.024941807484630468,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,358536.0,358.536,0.0796492143177358,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,641919.0,641.919,0.1426030970547634,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,74727.0,74.727,0.016600695155636933,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2011-12-31,2011,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,391341.0,391.341,0.08693688550192183,4501438.0,4501.438,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,3216364.0,3216.364,0.6043687382054798,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,141077.0,141.077,0.026508979854212543,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,59482.0,59.482,0.01117692564832163,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,87433.0,87.433,0.016429039713017467,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,139420.0,139.42,0.02619762237128882,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,390238.0,390.238,0.07332741184139296,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,769231.0,769.231,0.14454183943687327,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,91363.0,91.363,0.01716750374916124,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2012-12-31,2012,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Japan,427249.0,427.249,0.08028193918025231,5321857.0,5321.857,Stable panel of separately reported economies,Final historical survey
2013-12-31,2013,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,3943133.0,3943.133,0.6091778045527514,6472877.0,6472.877,Stable panel of separately reported economies,Final historical survey
