t,home_equity,foreign_liability,bond_position,nfa_sum,NFA,A_US,Q_US,V_agg,B_agg,NFA_fund,NFA_bubble,NFA_b_cf,DeltaNFA,DeltaA,DeltaV,DeltaB,e_US
54.0,1.0249035707206782,-0.056292210362062105,-0.8932373586476362,0.07537400171097985,0.07537400190124477,1.7438497510978315,1.6684757491965867,1.6684757491943412,2.2455370896068416e-12,0.0753740019034903,-2.2455370896068416e-12,0.19980629549871098,-0.12443229359746621,-0.6803765731778624,0.5559442795826417,-2.2455370896068416e-12,3.487699502195663
55.0,1.0256905876670197,-0.05794061471189698,-0.8951106294678258,0.07263934348729695,0.07263934375603198,1.7851928347590316,1.7125534910029996,1.712553491004134,-1.134425886561985e-12,0.07263934375489756,1.134425886561985e-12,0.2061144863906108,-0.13347514263457882,-0.7312806214122318,0.5978054787765186,1.134425886561985e-12,3.570385669518063
56.0,1.0258213394871207,-0.0597732207275888,-0.8963579001013736,0.06969021865815828,0.06969021902193995,1.8282712488434942,1.7585810298215543,1.758581029827052,-5.49760237333885e-12,0.06969021901644235,5.49760237333885e-12,0.2126786780144201,-0.14298845899248014,-0.7858579824761689,0.6428695234781912,5.49760237333885e-12,3.6565424976869885
57.0,1.0252838646161444,-0.06180489159546571,-0.8969578236580256,0.06652114936265308,0.06652114984056956,1.8731517315967143,1.8066305817561448,1.806630581767304,-1.1159295709717298e-11,0.06652114982941026,1.1159295709717298e-11,0.21950270374427028,-0.15298155390370072,-0.8443503757590576,0.6913688218441976,1.1159295709717298e-11,3.7463034631934287
58.0,1.024070263809608,-0.06405121758445542,-0.8968922086214256,0.06312683760372695,0.06312683821761289,1.9199032427401543,1.8567764045225414,1.8567764045411277,-1.8586243655249746e-11,0.06312683819902665,1.8586243655249746e-11,0.226589794818421,-0.16346295660080812,-0.9070126152701996,0.7435496586508052,1.8586243655249746e-11,3.8398064854803087
59.0,1.022176724664267,-0.06652856318626968,-0.8961460345533504,0.05950212692464696,0.05950212769931662,1.9685970437501694,1.9090949160508528,1.909094916079347,-2.8494095971609568e-11,0.059502127670822524,2.8494095971609568e-11,0.23394254268065362,-0.174440414981337,-0.9741132537572412,0.7996728387474101,2.8494095971609568e-11,3.937194087500339
60.0,1.0196035157606436,-0.06925410003874952,-0.894707455441167,0.05564196028072699,0.05564196124422627,2.0193067834197915,1.9636648221755653,1.9636648222175601,-4.199485204026132e-11,0.055641961202231416,4.199485204026132e-11,0.2415628653241857,-0.18592090407995943,-1.0459352855256512,0.8600143814036969,4.199485204026132e-11,4.038613566839583
61.0,1.0163549636175115,-0.0722458157751534,-0.892567811579928,0.05154133626243007,0.0515413374462641,2.0721085887103134,2.0205672512640493,2.020567251324906,-6.085665305022303e-11,0.05154133738540745,6.085665305022303e-11,0.24945197736213132,-0.19791063991586721,-1.1227769103611056,0.9248662703843817,6.085665305022303e-11,4.144217177420627
62.0,1.0124394238862986,-0.07552248813927875,-0.8897216696718212,0.04719526607519864,0.04719526751456904,2.1270811608314846,2.0798858933169155,2.079885893404835,-8.791944949848585e-11,0.04719526742664959,8.791944949848585e-11,0.25761036330510123,-0.2104150957905322,-1.2049523590405466,0.994537263162095,8.791944949848585e-11,4.254162321662969
63.0,1.0078692688669553,-0.07910360721236921,-0.8861669278041162,0.04259873385046986,0.042598735584501224,2.1843058764281853,2.141707140843684,2.1417071409714796,-1.2779555191855252e-10,0.04259873545670567,1.2779555191855252e-10,0.26603775332565194,-0.22343901774115071,-1.292792778858869,1.0693537609899226,1.2779555191855252e-10,4.368611752856371
