t,N_US,N_W,phi_US,phi_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,q_US,d_US,Q_US,Q_W,Y_US,Y_W,e_US,e_W,I_US,I_W,Psi,resnorm
55,310.5037151126998,47.54078855455952,0.20799724642583056,0.5134125786939406,0.5776209672014806,0.09730887880544226,0.525075883189593,-0.20338686458240904,0.862317555044013,0.8788901747294836,0.00630647810720839,0.0002623460161888258,2.2683624452064874,2.1453768339662833,6.134127602578249,2.4629208829183007,6.362845753547978,2.452431654039166,0.31017756364137555,0.19026642632460097,0.9869422688876182,1.7505543485174372e-10
56,359.68767458555334,52.16733849648347,0.2012649067741023,0.5088513746870389,0.578125472213147,0.09492806512974933,0.5164676721397512,-0.195735244539772,0.8577121451798972,0.8744763733818296,0.0055753006037049975,0.00022442247124845652,2.325718294306398,2.1997862583903633,6.323884316598995,2.4822728939033674,6.563513704835209,2.4751810689563407,0.3203513850443159,0.1967570121504755,0.9868514668937735,2.0267274275840331e-10
57,417.146708244013,57.291721814240226,0.19467793407218337,0.5042890308630519,0.5786060534642018,0.0925719122937514,0.5079690692570706,-0.18834669185254252,0.8530979374126432,0.8700564910426739,0.004924772858861643,0.000191748921187589,2.3852359130255665,2.256023658796095,6.52079162629056,2.501923312335478,6.77168732110979,2.498401964449939,0.3308831261019749,0.20349244721530915,0.98675891507362,2.3230463685454336e-10
58,484.33419801962435,62.97174880305251,0.18823753446034647,0.4997267643613381,0.5790625385057449,0.09024222015843904,0.4995843339994908,-0.18121588000238611,0.8484758104767584,0.8656312859557999,0.00434661302227935,0.00016363914371342,2.4469999652617322,2.3141525168264248,6.725120531023949,2.5218761260384834,6.987651130603299,2.522106045140247,0.34178663301440765,0.2104820102122948,0.9866648788921594,2.6396017340542366e-10
59,562.9670625655406,69.27236490855813,0.18194462897449667,0.495165769004922,0.5794949437235949,0.08794059651119265,0.4913169756541505,-0.1743371320929559,0.8438466345754394,0.8612015156444173,0.0038333006418985694,0.00013948969260758702,2.5110983002548233,2.374238577679152,6.9371520338101265,2.5421353301622904,7.211700229259248,2.546305344095608,0.3530762979545843,0.2177353315768854,0.9865696162137536,2.976326948696748e-10
60,655.0747084139788,76.26657712212261,0.17579986034828848,0.4906072147242853,0.5799034543415467,0.08566847329309628,0.4831698301315208,-0.16770449104510354,0.8392112705899111,0.8567679355935006,0.0033780192742086813,0.00011877106333194259,2.5776220696026724,2.436349930374205,7.157177504256094,2.562704926826491,7.444140663109523,2.57101223496167,0.36476707853361995,0.22526240645909978,0.986473376587915,3.3330417660326557e-10
61,763.0572416453999,84.03650595085925,0.1698036008003871,0.4860522470680211,0.580288405356142,0.08342712194574572,0.4751451307595323,-0.16131178197254542,0.8345705693671606,0.852331298029961,0.0029746016515957235,0.00010101961427754646,2.6466658492898736,2.500557090486221,7.385499055361604,2.5835889247719876,7.685289825168286,2.5962394445277703,0.3768745180293898,0.23307360811501224,0.9863764006894438,3.709457682333447e-10
62,889.75471652484,92.67458063039905,0.16395596071662594,0.48150198678709943,0.5806502634928965,0.08121766779436743,0.46724457319142765,-0.1551526673438697,0.8299253710745728,0.8478923507933327,0.002617477555588467,8.583020945614257e-5,2.7183277668953796,2.5669330854758394,7.622429934703289,2.604791339010988,7.935476867432002,2.6220000657399183,0.38941476641263184,0.24117970173822662,0.9862789198924826,4.105081134663721e-10
63,1038.5295419598121,102.28489781683918,0.15825679813299004,0.47695752948145004,0.5809896102408522,0.07904110342462949,0.4594693746443311,-0.1492206955425684,0.8252765046113361,0.8434518362894438,0.0023016244944116864,7.28495445980111e-5,2.7927096341504702,2.635553542756048,7.868294930568246,2.6263161904665417,8.19504312859051,2.648307571171356,0.40240460220561725,0.2495918587527382,0.9861811559602766,4.519334108617294e-10
64,1213.3645783363586,112.98476694701057,0.15270572892289921,0.47241994529944215,0.5813071259955077,0.07689830104205284,0.45182032775522735,-0.14350934342476293,0.8206247870679932,0.8390104905197915,0.002022521238572184,6.177011599964205e-5,2.8699170850260676,2.7064967806320395,8.12343079361537,2.6481675055936034,8.464342578071276,2.6751758269631827,0.4158614552095999,0.2583216715890852,0.9860833208345493,4.951423674967528e-10
65,1418.9799495268144,124.9064688522573,0.14730213759112645,0.467890278682556,0.5816035753187588,0.0747900238269036,0.4442978493842808,-0.1380120534499401,0.8159710232269466,0.8345690421798034,0.001776104229124623,5.232478990693937e-5,2.950059719535993,2.779843902254827,8.38818667465954,2.6703493159744007,8.743742277056766,2.7026191072489465,0.4298034301383739,0.2673811689661412,0.9859856165103715,5.400428388015932e-10
66,1660.9721834793274,138.19925811860145,0.14204518857676385,0.46336954814912396,0.5818797933076448,0.07271693631517373,0.43690202471835266,-0.13272226592766692,0.8113160050981093,0.8301282118198229,0.0015587268396223288,4.428192957476337e-5,3.0332512534519247,2.8556788927298884,8.662924579191392,2.6928656578816916,9.033622857133514,2.7306521090784615,0.4442493311965937,0.2767828317012487,0.9858882349841948,1.3844314598638292e-9
67,1945.979998770577,153.03164418452963,0.13693383799788691,0.45885874560798523,0.5821366722475249,0.07067961321218066,0.42963264678966495,-0.12763344681909347,0.806660511476767,0.8256887110659156,0.001367121443727076,3.7441037259752144e-5,3.1196096728191915,2.934088725086781,8.948019839294913,2.715720571270011,9.334379017090159,2.759289967936035,0.45921868743594735,0.2865396098560819,0.9857913581721093,1.0827119011157304e-9
68,2281.8818965449364,169.59399136366739,0.13196684568722158,0.45435883772546265,0.5823751523765572,0.06867854979699899,0.42248925315624364,-0.12273911195434384,0.8020053076115776,0.8212512419267622,0.0011983642188003202,3.162886918790195e-5,3.2092573956091375,3.0151634478019775,9.24386160354825,2.738918100862418,9.646420038801661,2.788548273525425,0.4747317792614718,0.2966649373742742,0.9856951582331371,7.133688423107042e-14
69,2678.0317246303616,188.10148387615723,0.12714278725325373,0.44987076433855006,0.5825962095843987,0.06671416806326844,0.4154711568696761,-0.1180328471408159,0.7973511446449113,0.8168164959833089,0.0010498425977416167,2.669598281081312e-5,3.3023214502569362,3.098996307508377,9.550853345384725,2.7624622940453767,9.970170324133719,2.8184430864258037,0.4908096676365357,0.307172751764592,0.9855997974639716,3.579587938073619e-12
70,3145.5395859920054,208.7975089864722,0.12246006682461576,0.44539543849738034,0.5828008455474222,0.06478682360518652,0.40857747591138555,-0.1135083257496723,0.7926987594407268,0.8123851539185132,0.0009192252507854858,2.2513677127612952e-5,3.3989336351158594,3.18568385935083,9.869413391493206,2.786357200370365,10.30606994918874,2.8489909552307715,0.5074742203266855,0.3180775121502602,0.9855054284082234,9.196332241192647e-10
71,3697.606905610395,231.95751916932852,0.11791692934668743,0.4409337466513042,0.5829900797758307,0.0628968123058811,0.4018071589798472,-0.10915932331771892,0.7880488741853556,0.8079578848629027,0.0008044345006861017,1.8971289236288168e-5,3.4992307077293843,3.2753260794573613,10.199975469666777,2.810606871153686,10.654575242459554,2.880208934231197,0.5247481428812047,0.3293942177131742,0.9854121941039004,5.629697847371715e-14
72,4349.9261962843375,257.8934434049395,0.11351147287438124,0.43648654922930824,0.5831649432023681,0.06104437693444011,0.3951590086363276,-0.10497972973509888,0.783402196003612,0.8035353457706766,0.0007036210350344276,1.5973812006430897e-5,3.603354583762252,3.368026475933446,10.54298927752551,2.835215359498603,11.016159385433513,2.9121146015572164,0.5426550112092963,0.34113842602059247,0.9853202284359627,8.994397109552382e-10
73,5121.158129654186,286.9587282497902,0.10924166124627192,0.43205467925885627,0.5833264685802628,0.059229710164957435,0.38863170188176344,-0.10096355930962247,0.7787594167976283,0.7991181810471115,0.0006151407815768586,1.3439800175957227e-5,3.7114525154129603,3.46389222930034,10.898921073458775,2.8601867178783706,11.391313032485545,2.9447260784413576,0.5612193009588008,0.3533262756468435,0.9852296560526483,1.236402981419248e-9
74,6033.500991267369,319.55410164084975,0.10510533599628653,0.4276389435571517,0.5834756867704086,0.05745296087297255,0.3822238086967377,-0.0971049589174228,0.7741212128711492,0.7947070219626727,0.000537533828856021,1.1299534738256494e-5,3.8236773130469253,3.5630343052308926,11.268254289123968,2.885524998710584,11.780544958884219,2.9780620485740408,0.5804664238043786,0.36597450495892503,0.9851405928841998,7.147758836264944e-14
75,7113.370559736625,356.13416628201014,0.10110022838166972,0.42324012260223315,0.5836136210592308,0.05571423796888437,0.37593380846577823,-0.09339821448792318,0.7694882446921584,0.7903024862292862,0.0004695052460132041,9.493417519665394e-6,3.9401875568629974,3.665567587944017,11.651490165637686,2.911234253279303,12.184382731172779,3.0121417783761526,0.6004227622307698,0.3791004739480243,0.985053146370215,3.457719613160729e-12
76,8392.211994053387,397.21494589840376,0.09722397125743328,0.4188589697577547,0.5837412807880751,0.05401361273808818,0.3697601046944577,-0.08983775606567564,0.7648611567483257,0.7859051776802279,0.0004099076744744803,7.970570392261638e-6,4.061147806169733,3.7716110288522673,12.049148413977496,2.9373185296614386,12.60337340152258,3.0469851382978463,0.6211157039904681,0.3927221883667552,0.9849674155416046,8.379721249348952e-12
77,9907.469557324837,443.3825264758069,0.09347411030152104,0.4144962121354965,0.5838596588465836,0.05235112326870459,0.3637010380775128,-0.08641816153494872,0.7602405772788051,0.7815156858366208,0.00035772556645602226,6.687615811316865e-6,4.186728841386083,3.881287777364925,12.46176789981585,2.963781872682179,13.038084231600402,3.0826126243425525,0.6425736818462586,0.4068583214242538,0.9848834914845522,1.5334444813192905e-11
78,11703.745088347738,495.30295622071054,0.08984811508734698,0.4101525505092591,0.5839697277888202,0.05072677705715443,0.3577548981263863,-0.08313415924754101,0.7556271181191897,0.777134585600201,0.00031206093953894465,5.607617441992146e-6,4.3171079009788755,3.9947253299844743,12.889907354517158,2.990628322540534,13.489103442007881,3.11904538062961,0.6648262125847721,0.4215282382208959,0.9848014575876722,2.512603199122653e-11
79,13834.182218887117,553.7335933111126,0.08634338971409965,0.40582865948694136,0.5840724369460504,0.04914055366757918,0.35191993349272443,-0.07998062966286253,0.7510213745521985,0.7727624369617925,0.00027212052968668236,4.699161788788887e-6,4.452468931360637,4.112055681242701,13.334146112834974,3.017861913669703,13.95704099054783,3.1563052226769126,0.6879039381749921,0.43675202057079554,0.9847213898481199,3.887333585992859e-11
80,16362.120625324293,619.5361195960679,0.08295728301053668,0.40152518773219936,0.5841687100767324,0.04759240716734536,0.3461943611161485,-0.07695260613168915,0.7464239251832377,0.7683997847446405,0.00023720422721565759,3.93556364168499e-6,4.593002847213414,4.233415479364423,13.79508487835865,3.045486673566187,14.442529379998753,3.194414661477646,0.7118386686739938,0.452550492629247,0.9846433571872961,5.8118704233194736e-11
81,19363.073336115638,693.6914721697436,0.07968709828745482,0.3972427582447086,0.5842594435331089,0.0460822683894663,0.3405763743100518,-0.07404527493525317,0.7418353318405386,0.7640471583820669,0.00020669468665775637,3.2941799622382616e-6,4.738907802936313,4.35894618653111,14.27334651771925,3.0735066216069473,14.9462244965248,3.2333969283828865,0.7366634269967338,0.46894524731007303,0.9845674217771322,8.499558605663107e-11
82,22927.09057772232,777.3169838485841,0.07653010261908087,0.3929819687109383,0.5843455049334444,0.04461004707670775,0.33506414988527156,-0.07125397467844213,0.7372561394991728,0.7597050717288072,0.00018004800767818286,2.755818500794479e-6,4.890389476067893,4.488794243489649,14.769576884601458,3.101925767882507,15.468806479909725,3.2732760007939197,0.7624124956917504,0.48595867345879207,0.9844936393790246,1.224398715999099e-10
83,27161.586174332777,871.6860688932478,0.07348353563831504,0.38874339194122653,0.5844277323411734,0.04317563396869436,0.3296558543980993,-0.06857419512424553,0.7326868762277595,0.7553740229052844,0.00015678539060690763,2.3042289676459685e-6,5.047661363745026,4.623111238071983,15.284445674647326,3.1307481120858185,16.010980626876297,3.3140766286564505,0.7891214658990795,0.5036139837204676,0.9844220596988655,1.744843939698294e-10
84,32194.717532072384,978.2508428460023,0.07054461783504626,0.38452757641411445,0.5845069339678381,0.04177890290337853,0.32434964959600576,-0.06600157554606169,0.7281280531560593,0.7510544941739399,0.0001364856765851516,1.9256659789314488e-6,5.210945093546472,4.762054076939405,15.818647312377957,3.159977642513083,16.573478328838867,3.355824361731801,0.8168272887137288,0.5219352430029996,0.9843527267633776,2.466622379642068e-10
85,38179.428229565405,1098.6681262702753,0.06771055835060828,0.38033504695582365,0.584583888436772,0.04041971301882115,0.319143697121177,-0.06353190266484679,0.7235801644609139,0.7467469518466352,0.00011877868872086743,1.6085142666886062e-6,5.380470750463028,4.905785159512519,16.37290187130143,3.189618335255365,17.157058045542936,3.398545577595632,0.8455683292427799,0.5409473973830775,0.9842856793252426,3.465441133295469e-10
86,45298.28379489232,1234.829352845556,0.06497856226483434,0.3761663055919324,0.5846593456704134,0.039097911161877996,0.31403616251823857,-0.06116110822923387,0.7190436873671013,0.7424518462220852,0.00010333929690887465,1.342967787719503e-6,5.556477222275895,5.054472552556483,16.947956028419302,3.2196741536908546,17.762506316176836,3.4422675102794775,0.8753844237330518,0.5606763032272363,0.9842209513075157,4.844662868326475e-10
