t,N_US,e_US,A,q_US,v,B_per,Q_US,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
31,13.726472065805947,3.212500919811429,1.6062504599057146,0.08899439654429486,0.0889943965483987,-4.1038422660122365e-12,1.3669675271308839,1.3669675271939197,-6.303579880295729e-11,-4.6113603689813005e-11,0.2392829327748307,0.2392829327117949,6.303579880295729e-11,-0.09298572255674076,0.33226865533157146,0.5641904187178921,-0.23192176344935644,6.303579880295729e-11
32,15.360152776029084,3.2964574183176736,1.6482287091588368,0.08080906004988711,0.08080906005484284,-4.955730270594927e-12,1.3912331655843562,1.3912331656696757,-8.531952921941865e-11,-6.132654922985689e-11,0.2569955435744806,0.2569955434891611,8.531952921941865e-11,-0.093685543682684,0.3506810872571646,0.5964994763058507,-0.24581838913400555,8.531952921941865e-11
33,17.216301794940872,3.3834723909590854,1.6917361954795427,0.07327977759225358,0.07327977759811602,-5.8624355370184844e-12,1.4163552571667026,1.416355257280012,-1.1330936189324348e-10,-8.000066460720395e-11,0.27538093831284005,0.2753809381995307,1.1330936189324348e-10,-0.09439822681850418,0.36977916513134423,0.6301029269228424,-0.26032376190480755,1.1330936189324348e-10
34,19.32805070789988,3.4736626408327145,1.7368313204163572,0.06636516520350721,0.06636516521030536,-6.798145379960374e-12,1.4423674180946187,1.442367418242368,-1.4774936829553553e-10,-1.0243532018403042e-10,0.2944639023217386,0.2944639021739892,1.4774936829553553e-10,-0.09512401313868568,0.38958791546042426,0.6650549128443604,-0.27546699753168546,1.4774936829553553e-10
35,21.73380287190777,3.5671494676285667,1.7835747338142833,0.0600252357277161,0.060025235735440136,-7.724036688028235e-12,1.4693046827524971,1.4693046829415668,-1.890696488260346e-10,-1.2867967484582174e-10,0.3142700510617862,0.31427005087271653,1.890696488260346e-10,-0.09586315176741644,0.4101332028292026,0.7014117491889371,-0.29127854654880414,1.890696488260346e-10
36,24.478115994704194,3.664058836316542,1.832029418158271,0.05422148064138644,0.054221480649971426,-8.584986888049428e-12,1.4972035646028474,1.4972035648399022,-2.370548202179634e-10,-1.583317231019586e-10,0.3348258535554236,0.3348258533183688,2.370548202179634e-10,-0.09661589332049969,0.4314417468759233,0.7392320882014243,-0.3077903415625558,2.370548202179634e-10
37,27.6127384736162,3.7645215514096875,1.8822607757048437,0.04891693600441559,0.04891693601372002,-9.304432224688242e-12,1.5261021133395856,1.5261021136298636,-2.9027802384007373e-10,-1.9020878177336064e-10,0.35615866236525817,0.35615866207498015,2.9027802384007373e-10,-0.09738249153641498,0.45354115390167316,0.7785769881499509,-0.3250358345385558,2.9027802384007373e-10
38,31.197827132955116,3.8686734369616818,1.9343367184808409,0.044076233268626426,0.04407623327840465,-9.778226839340931e-12,1.556039972080349,1.5560399724255536,-3.4520453162656395e-10,-2.218481130436787e-10,0.3782967464004918,0.3782967460552873,3.4520453162656395e-10,-0.09816320332321804,0.47645994972370986,0.8195100041353698,-0.34305005475686445,3.4520453162656395e-10
39,35.303379093148195,3.976655521878786,1.988327760939393,0.03966563533254237,0.03966563534240926,-9.866885086751154e-12,1.5870584250892106,1.5870584254839937,-3.947830951034348e-10,-2.4875145669652553e-10,0.40126933585018243,0.40126933545539933,3.947830951034348e-10,-0.0989582907061326,0.500227626556315,0.8620972518716854,-0.36186962571015346,3.947830951034348e-10
40,40.010916547381264,4.088614233011261,2.0443071165056304,0.03565305973827014,0.035653059738443946,-1.7380541450506826e-13,1.6192004807078937,1.6192004807157874,-7.893685705084863e-12,-4.875051483207221e-12,0.42510663579773666,0.425106635789843,7.893685705084863e-12,-0.09976801345808695,0.5248746492558236,0.9064076198598565,-0.3815329706119266,7.893685705084863e-12
