comparison_type,T_report,n_buffer,terminal_rule,T_solve,t,periods_to_terminal,n,phi,G,q,d,dividend_yield,free_entry_resid,clearing_resid,pricing_identity_resid,terminal_phi,terminal_q,terminal_mc_resid
unreduced_equilibrium,45,20,local_loglinear,65,34,31,22.66068619187429,0.329568084398173,1.1340863831203654,4.068253224937624,0.2681532844378765,0.0659136168796346,0.0,-5.684341886080802e-14,8.881784197001252e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,35,30,25.69917564236832,0.31966788213226904,1.1360664235735463,4.340720530560977,0.2775177877864972,0.06393357642645378,1.7763568394002505e-15,1.4210854715202004e-14,1.7763568394002505e-15,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,36,29,29.19597056081377,0.3099246380950126,1.1380150723809974,4.635320286042055,0.287319992421211,0.06198492761900255,-1.7763568394002505e-15,-1.1368683772161603e-13,-8.881784197001252e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,37,28,33.22545455099795,0.3003444120311327,1.1399311175937734,4.953984790998081,0.2975803298526984,0.060068882406226515,2.6645352591003757e-15,-8.526512829121202e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,38,27,37.87472953888022,0.29093274022477855,1.1418134519550442,5.2988223635861935,0.30832018204049383,0.05818654804495571,0.0,-8.526512829121202e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,39,26,43.2458756766525,0.28169463195876987,1.143661073608246,5.672133748206541,0.31956192572439185,0.05633892639175397,0.0,-1.7053025658242404e-13,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,40,25,49.458624605489135,0.2726345691192019,1.1454730861761595,6.076430070966716,0.3313289788361944,0.054526913823840374,1.7763568394002505e-15,-5.684341886080802e-14,8.881784197001252e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,41,24,56.65352336487778,0.26375650879879853,1.1472486982402403,6.514452489781236,0.343645849088068,0.052751301759759714,-1.7763568394002505e-15,-1.1368683772161603e-13,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,42,23,64.99568093107906,0.25506388872890784,1.1489872222542183,6.989193699958343,0.3565381848381918,0.05101277774578158,-8.881784197001252e-16,-3.410605131648481e-13,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,43,22,74.679206891522,0.24655963535032277,1.1506880729299356,7.503921471437017,0.37003282833899365,0.04931192707006455,8.881784197001252e-16,1.1368683772161603e-13,-8.881784197001252e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,44,21,85.93247266594142,0.23824617431722037,1.1523507651365559,8.062204410607562,0.38415787147813446,0.04764923486344408,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,45,20,99.02435062667377,0.2301254432164445,1.153974911356711,8.667940158017835,0.3989427141274943,0.046025088643288886,3.552713678800501e-15,1.1368683772161603e-13,-1.7763568394002505e-15,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,60,0,local_loglinear,60,0,60,1.0,0.6933034373659253,1.061339312526815,0.7944952996089383,0.11016526443798952,0.13866068747318505,0.0,0.0,0.0,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,1,59,1.061339312526815,0.6837406048898589,1.0632518790220282,0.8201279634626585,0.11215095796500923,0.13674812097797176,0.0,-3.3306690738754696e-16,0.0,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,2,58,1.1284710183240836,0.6740161890406458,1.0651967621918708,0.847375086022342,0.11422890523375369,0.13480323780812917,0.0,-6.661338147750939e-16,1.1102230246251565e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,3,57,1.2020436749461771,0.6641359359922223,1.0671728128015556,0.8763525071879,0.11640343852407335,0.13282718719844447,0.0,0.0,-1.1102230246251565e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,4,56,1.2827883297026306,0.6541061017497392,1.0691787796500523,0.9071853461638,0.11867909406873818,0.13082122034994784,0.0,-4.440892098500626e-16,1.1102230246251565e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,5,55,1.3715300609007874,0.6439334452014471,1.0712133109597106,0.9400088038295782,0.1210606215139343,0.12878668904028942,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,6,54,1.469201257618306,0.633625217926103,1.0732749564147794,0.9749690377858048,0.12355299380764671,0.1267250435852206,0.0,-4.440892098500626e-16,1.1102230246251565e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,7,53,1.5768569157348264,0.6231891506930474,1.0753621698613904,1.0122241168309947,0.1261614175357855,0.12463783013860946,0.0,1.5543122344752192e-15,2.220446049250313e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,8,52,1.6956922744655427,0.6126334366259589,1.0774733126748082,1.051945062261399,0.12889134372698186,0.1225266873251918,0.0,-1.1102230246251565e-15,0.0,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,9,51,1.8270631722454684,0.6019667110374443,1.0796066577925112,1.0943169840825315,0.13174847914811538,0.12039334220748889,0.0,-2.220446049250313e-15,-2.220446049250313e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,10,50,1.9725095649637134,0.5911980279796067,1.0817603944040786,1.1395403209841124,0.1347387981138111,0.11823960559592137,0.0,0.0,0.0,0.12640361822758675,29.87207871931727,-17.752530168792873
unreduced_equilibrium,60,0,local_loglinear,60,11,49,2.133782724960964,0.5803368335949142,1.083932633281017,1.187832193765546,0.1378685548343995,0.11606736671898282,0.0,-4.440892098500626e-16,-2.220446049250313e-16,0.12640361822758675,29.87207871931727,-17.752530168792873
