t,n,phi_u,phi_b,q_u,q_b,e_u,e_b,G_u,G_b
45,99.02435062667375,0.2301254432164445,0.6933034373659253,8.667940158017833,0.07983996366367885,1980.999062597165,16.78211065743383,1.153974911356711,1.061339312526815
46,114.2716162365717,0.2221989062759996,0.6933034373659253,9.325386253387119,0.07432281445912726,2462.792244158235,18.02788436955927,1.1555602187448,1.061339312526815
47,132.0477338546546,0.2144675708318183,0.6933034373659253,10.03919392138788,0.06913943973589383,3067.842921994589,19.37943249478997,1.157106485833636,1.061339312526815
48,152.7932892828547,0.2069320053203916,0.6933034373659253,10.81444505579455,0.06427457179583866,3828.92743798136,20.84623930821897,1.158613598935922,1.061339312526815
49,177.0283827892657,0.199592358566454,0.6933034373659253,11.65669270603951,0.0597131361714516,4787.808341450796,22.4386657776977,1.160081528286709,1.061339312526815
50,205.3673568562959,0.1924483801392831,0.6933034373659253,12.57200539917802,0.05544030685337775,5997.759433634572,24.16803190921949,1.161510323972143,1.061339312526815
51,238.5363051954591,0.1854994415580041,0.6933034373659253,13.56701566198728,0.05144155500196465,7526.814661882629,26.04670688975443,1.162900111688399,1.061339312526815
52,277.3938959535374,0.1787445581352279,0.6933034373659253,14.64897314267354,0.04770269132565845,9461.951796699466,28.08820776886973,1.164251088372954,1.061339312526815
53,322.95614527192,0.1721824112590798,0.6933034373659253,15.82580276972272,0.04420990236375192,11914.48412573446,30.30730749109132,1.165563517748184,1.061339312526815
54,376.4259007615327,0.1658113709258365,0.6933034373659253,17.10616842712251,0.04094978095599858,15027.0143068982,32.72015316831822,1.166837725814833,1.061339312526815
55,439.2279419823867,0.1596295183486731,0.6933034373659253,18.49954267085171,0.03790935121735707,18982.40964616713,35.34439556633402,1.168074096330265,1.061339312526815
56,513.0507814140786,0.1536346684821109,0.6933034373659253,20.01628306155563,0.03507608836315832,24015.39471612134,38.19933087227256,1.169273066303578,1.061339312526815
57,599.8964603534863,0.1478243923163607,0.6933034373659253,21.66771574312135,0.03243793374894414,30427.53494445465,41.30605591155965,1.170435121536728,1.061339312526815
58,702.1398864832856,0.1421960388106188,0.6933034373659253,23.46622695688691,0.02998330550083129,38606.61601757586,44.68763809421231,1.171560792237876,1.061339312526815
59,822.5995616701707,0.1367467563492401,0.6933034373659253,25.42536324696414,0.02770110511728242,49051.72489703567,48.36930149235872,1.172650648730152,1.061339312526815
60,964.6219096376644,0.1314735136193985,0.6933034373659253,27.55994118417068,0.02558072042240373,62405.73012756529,52.37863058445674,1.17370529727612,1.061339312526815
