nu_b,t,e_W_over_e_US,Q_W_over_beta_e_US,Q_W_over_beta_e_W,Q_US_over_beta_e_W,zeta,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b
0.1,80,0.4654295426444001,0.8855112386658127,1.902567752005303,1.2462296084675255,0.5800320766989503,1.0299417986671382,1.123627745043913,0.9166219000999184
0.5,1,1.8909708542057762,2.0018402973718485,1.0586309635177524,0.4704423126069299,0.8895927017248672,1.0399904906193298,1.0869403183353687,0.9568055145953719
0.5,2,1.9704013110453336,2.064365193465173,1.0476876877279329,0.4600675354004807,0.9065176749225025,1.0420452680233663,1.080159776657208,0.9647140085591824
0.5,3,2.044564461790399,2.122917255703539,1.0383224864646856,0.45102363158892245,0.9221468885743564,1.0439940297042718,1.073820293188087,0.972224157363181
0.5,4,2.1132175745678556,2.177296399840978,1.03032287164573,0.44313356415199323,0.9364376356468844,1.0458366938378594,1.0679029291659965,0.9793368528866474
0.5,5,2.1762091406750788,2.2273725313874895,1.02351032800852,0.4362487260099921,0.9493684651508028,1.047573440484926,1.0623916810729621,0.986051998662988
0.5,6,2.2334689388443154,2.2730784261496337,1.0177345145107832,0.43024388914121847,0.9609363625244887,1.049204774635194,1.0572732216241325,0.9923686263645795
0.5,7,2.2849975918168184,2.3144020718612484,1.012868494982111,0.4250131232424824,0.9711539630996169,1.050731595350918,1.0525364740101923,0.9982852103429749
0.5,8,2.3308561195480597,2.351378922277892,1.0088048346518321,0.42046647150371397,0.9800468481692116,1.0521552080331462,1.0481724072548828,1.0037997573211206
0.5,9,2.3711558876809957,2.3840843696372147,1.005452396454989,0.4165272401959473,0.9876510179701369,1.053477317719383,1.0441738293322105,1.0089099038166112
0.5,10,2.4060492209053934,2.4126266651668162,1.002733711432116,0.41312977918253146,0.994010583334947,1.054700019452281,1.0405352555445084,1.013612959130693
0.5,11,2.4357208528463556,2.437140453938012,1.0005828258562541,0.4102176475253881,0.999175678283164,1.0558257837658702,1.0372528440238507,1.0179058942561863
0.5,12,2.4603803152049357,2.4577810309651413,0.9989435437181272,0.40774208117408367,1.0032005902014085,1.0568574367553494,1.0343244005459977,1.0217852698799883
0.5,13,2.4802553135792214,2.4747193773546172,0.9977679974338547,0.40566069715306163,1.0061420996241326,1.0577981811997443,1.0317494598265737,1.0252471383678254
0.5,14,2.4955860917117185,2.4881380519618213,0.9970155148024612,0.40393635515567144,1.008057949863219,1.0586516337485987,1.0295294449542156,1.0282868925576754
0.5,15,2.50662078681224,2.498227993812206,0.996651750019712,0.40253611760181224,1.0090053998233988,1.0594219510176985,1.0276679196647567,1.030899117064295
0.5,16,2.513611767413978,2.5051863756942767,0.9966480934610003,0.401430213038321,1.009039707288624,1.0601140805847946,1.0261709418933938,1.0330774701423255
0.5,17,2.5168129910115966,2.509215752636674,0.996981405292306,0.40059088212921423,1.0082123362236017,1.0607342243994267,1.0250475361766174,1.0348146666016282
0.5,18,2.516478491352973,2.5105249498921935,0.9976341774899977,0.39999092426303245,1.0065685576443173,1.0612907280403145,1.0243103042895545,1.0361027547959787
0.5,19,2.5128622305490835,2.509332551173231,0.9985953549968074,0.3996016174286634,1.0041438117028127,1.0617956558716126,1.0239761903386935,1.0369339305832979
0.5,20,2.5062198110363534,2.5058744789354295,0.9998622099708082,0.39938948551943587,1.000957840928427,1.062267648465014,1.0240674165988082,1.0373024580677301
0.5,21,2.496812944630099,2.500418359265744,1.0014440067059887,0.39931096861691007,0.9970047953754841,1.062737027952439,1.0246125859572555,1.0372086411173307
0.5,22,2.4849183183281274,2.4932893769486575,1.0033687459900742,0.3993033642200552,0.9922362443204632,1.0632549228348704,1.0256478807705793,1.0366666209421078
0.5,23,2.4708437637103335,2.4849158232238224,1.0056952445638885,0.3992691963103186,0.9865318037449876,1.0639097261774793,1.0272178802544978,1.0357196332231784
0.5,24,2.4549568434681492,2.4759086451897225,1.0085344888148724,0.39904904292030935,0.9796481787966287,1.0648565909600871,1.0293768077713004,1.0344672455420905
0.5,25,2.437734918925603,2.467199331736362,1.012086799340654,0.3983744709514534,0.9711313586468711,1.0663720340898197,1.0321850007616513,1.033121032860332
0.5,26,2.419852586413265,2.4602783316886163,1.0167058710527779,0.3967868379076321,0.9601656559655246,1.0689560464037664,1.0357002478669244,1.0321094820681311
0.5,27,2.4023352832427407,2.4576044145971707,1.0230064186876637,0.39349960651912697,0.9453179886830338,1.0735301038398952,1.0399586127275213,1.032281564575272
0.5,28,2.386831949950396,2.463299868145184,1.0320374118489477,0.38717238253846875,0.9241154127812341,1.0818272416106325,1.0450215712183566,1.0352200101949718
0.5,29,2.3761087270563825,2.4842959343242166,1.0455312528572127,0.37556930483974055,0.8923935028442065,1.0970472820376609,1.0521069097413547,1.0427146441870192
0.5,30,2.3749743918597965,2.5319857418132936,1.0661107549166222,0.3551908122239018,0.8435690832556484,1.1205603518939413,1.0871458938481255,1.0307359465136183
0.5,31,2.3922380743745153,2.6205412594347353,1.0954349767716631,0.32282801426125896,0.7722814671905026,1.0688398598059605,1.3796305116926266,0.7747290674911455
0.5,32,2.446469976734609,2.700742665695245,1.103934522548289,0.30506207889696046,0.7463252170616584,1.0562428304764795,1.4237444314041747,0.7418767070679637
0.5,33,2.515134231615489,2.7857069070551512,1.1075778270752061,0.2902596621031414,0.730042012212756,1.0474250272053254,1.4418505987718335,0.7264449091310297
0.5,34,2.5938650143706337,2.8750161502940044,1.1083908123073969,0.2773786565612995,0.7194827929874823,1.0399472070949305,1.4488315465058754,0.7177833817899362
0.5,35,2.679985624173998,2.9676904205151042,1.107353111802523,0.2660276136668956,0.7129501802605945,1.0330690973284016,1.4498918617556964,0.7125145844169662
0.5,36,2.7714131442562646,3.062658712315481,1.1050891920112382,0.25598195431157095,0.7094317528714945,1.0264598585729825,1.4475843608299337,0.7090846560296419
0.5,37,2.866362409199541,3.158843614562674,1.1020391575135158,0.24707947558385793,0.7082193208983063,1.0199388236599798,1.4433537595431598,0.7066450736116167
0.5,38,2.96323949768495,3.2551928667275387,1.0985250666612265,0.23918783281047346,0.7087708335496592,1.0133942827777103,1.4380763229937163,0.7046874123259856
0.5,39,3.060601941702899,3.35070021114131,1.094784710643228,0.23219279784873662,0.7106497279452719,1.0067528293884076,1.4323006867849999,0.7028920942907636
0.5,40,3.157145762313391,3.4444232509968886,1.090992785988125,0.22599339956261785,0.713494103739916,0.9999647294714269,1.4263741153640108,0.70105361468666
0.5,41,3.2517036390084755,3.5354984995183587,1.0872757458906737,0.22049975056356763,0.7169998413080141,0.9929966736908195,1.4205151153288451,0.6990398503862055
0.5,42,3.3432464429430317,3.623153299410841,1.0837230701489686,0.2156317908848239,0.7209102178611231,0.9858278580342908,1.4148580102688333,0.6967680508427672
0.5,43,3.4308845423232506,3.706714616055437,1.08039619821931,0.2113182212506224,0.725008418800005,0.9784501251591144,1.4094805654237952,0.6941919946692697
0.5,44,3.513867452564116,3.7856175004589416,1.0773364537972332,0.20749465773254627,0.7291087243873254,0.9708455328455483,1.4044161403265962,0.6912805293022186
1.0,1,1.8907302594851008,2.0056361955531044,1.0607733099375558,0.4683672594650357,0.8855561500226524,1.0409338879671273,1.0897589983764915,0.9551964145447726
1.0,2,1.9718825310414196,2.071654733472285,1.0505974371496523,0.4567765588774167,0.9007097170395904,1.0425980969144395,1.0877805749671516,0.9584636101319638
1.0,3,2.0487281713917884,2.1347694829793546,1.0419974268861227,0.44635467095717957,0.9144593888222858,1.0441727924337925,1.08675247865691,0.9608193336943287
1.0,4,2.121136325817537,2.194990821931298,1.0348183637302502,0.4368714493235922,0.9266639008728265,1.0456973835039516,1.0867265330307896,0.9622451939105497
1.0,5,2.189108002170192,2.2524991759431385,1.0289575359964438,0.42809392391136886,0.9371438345148149,1.0472366708745586,1.0877715618620463,0.9627358423324655
1.0,6,2.2527970611037755,2.3077050776814487,1.024373263586721,0.4197637565453468,0.945642557103238,1.04890017327328,1.0899762201688636,0.9623147311514557
1.0,7,2.3125494945540126,2.3613528254324283,1.021103691399188,0.411563881423526,0.9517618459626626,1.050876559927043,1.0934534131699822,0.961062032702878
1.0,8,2.3689752635959707,2.4146985712768565,1.0193008801668448,0.40306696069812337,0.9548556594666637,1.0534948054345195,1.0983541394374214,0.9591576774810727
1.0,9,2.4230775322823517,2.4698126935744784,1.0192875220332325,0.393655182593727,0.9538570284093666,1.057328174374298,1.1049303966935977,0.9569183520864798
1.0,10,2.4764835612724547,2.5300792295455095,1.0216418429385885,0.3824009126735863,0.9470095740517199,1.0633365816211044,1.1138355173257228,0.9546621247759594
1.0,11,2.5318572045041887,2.600956315125308,1.027291867210438,0.3679195114472968,0.9315196657354998,1.0727933797956444,1.127623342801497,0.9513756403183073
1.0,12,2.5936373710055025,2.690769061739147,1.0374499888918505,0.3483533190761241,0.9035021866696396,1.084528539158437,1.1589934321353599,0.9357503753582738
1.0,13,2.669358041717445,2.8088866336228424,1.0522704671778036,0.3225958388331277,0.8611237966137942,1.072811076471834,1.2622977025233806,0.8498875299600437
1.3,1,1.8905221856037253,2.0089032664424047,1.0626181918097275,0.4665805887477358,0.8820809543996424,1.0421344393464864,1.0908647569091183,0.9553287268160486
1.3,2,1.973144043093951,2.0782572655976312,1.053271945792087,0.4537778214750642,0.8953690053316733,1.043972575716763,1.091712034636749,0.956271015244537
1.3,3,2.052426730194093,2.1462814575102387,1.045728661557273,0.44174384563250135,0.9066468766748788,1.0459516343904376,1.0939831436154217,0.9560948360993493
1.3,4,2.1285867689899876,2.213702323051669,1.0399868848673097,0.430052782704026,0.9154046632311159,1.0482849169850128,1.097846828815091,0.9548553490985892
1.3,5,2.2021659719264925,2.281835554891584,1.0361778285473164,0.41816494703584417,0.9208686170147801,1.051326884964168,1.1035822109731812,0.952649358163419
1.3,6,2.2741829044266884,2.3529002870518188,1.0346134791849446,0.4053492868660457,0.9218384185123109,1.0556388269794488,1.1117901288072645,0.9494946929524773
1.3,7,2.3463927983836275,2.4304818592567248,1.0358375890562843,0.39059290918382605,0.9164843892086396,1.0619239012378097,1.1242454673018971,0.9445658729550812
1.3,8,2.4217300111246196,2.5200171464704697,1.0405855049466093,0.37258683885996224,0.9023047294172232,1.069779909298311,1.1478066139847451,0.9320210358297594
1.3,9,2.505034226234385,2.6280852238547676,1.0491214835836216,0.35031905872922514,0.8775612322189228,1.0667705254333013,1.2155269370139388,0.8776198148713411
