nu_b,t,bubble_share_upper,log10_bubble_share_upper,a_t,dividend_leakage,switch_leakage,state_price_SDF_factor,physical_payoff_crash_factor
0.5,3,2.898675800764373e-8,-7.537800355121881,0.3203572488027761,0.034260366900133996,0.2860968819026421,0.35049092270606286,0.8162747260150175
0.5,4,3.817702298812219e-8,-7.418197940537412,0.3170504606984704,0.03395636247124873,0.2830940982272217,0.35260158581469475,0.8028724475901767
0.5,5,5.014875717360219e-8,-7.299739825541564,0.3135848017590237,0.033669159115710744,0.279915642643313,0.35475932735776927,0.7890296915605052
0.5,6,6.569406033361136e-8,-7.182473894990414,0.30998381687097937,0.03339821973211406,0.2765855971388653,0.35695843506239877,0.7748397851713918
0.5,7,8.581406391517523e-8,-7.066441530563621,0.30626823002550596,0.033142878068216614,0.2731253519572894,0.359193767959865,0.7603844395980929
0.5,8,1.1176906904473701e-7,-6.951678366411691,0.3024563101360339,0.03290238083162543,0.26955392930440847,0.36146069272679054,0.7457351095936463
0.5,9,1.4513931238619502e-7,-6.838214938768521,0.2985642058815155,0.0326759215460506,0.2658882843354649,0.3637550004835775,0.7309543071077836
0.5,10,1.878982618910565e-7,-6.726077237220466,0.29460625658116685,0.032462667420960996,0.26214358916020586,0.366072827795243,0.7160968235174003
0.5,11,2.4250060979885683e-7,-6.615287164971219,0.2905952793722962,0.032261780729346705,0.25833349864294947,0.3684105733672292,0.7012108699319125
0.5,12,3.119874223918482e-7,-6.505862913981304,0.2865428365340089,0.032072435899404644,0.25447040063460424,0.37076480798273537,0.6863391431865713
0.5,13,4.001112295746825e-7,-6.397819259483588,0.2824594866909513,0.031893833292129074,0.2505656533988222,0.3731321742951219,0.6715198277183194
0.5,14,5.114842066808581e-7,-6.291167771643408,0.2783550394838083,0.03172521152225812,0.2466298279615502,0.37550927060840317,0.6567875875926007
0.5,15,6.517530340727086e-7,-6.185916938405942,0.2742388241116743,0.0315658594669286,0.2426729646447457,0.37789250807967245,0.6421745852489409
0.5,16,8.278045685792361e-7,-6.082072181096315,0.2701200075838663,0.03141513064699226,0.23870487693687403,0.3802779274280491,0.6277116280487735
0.5,17,1.0480072139144523e-6,-5.97963572789384,0.2660080092492741,0.03127246345783049,0.23473554579144362,0.38266094928698197,0.6134295810137668
0.5,18,1.322494019336119e-6,-5.878606283281581,0.26191308778917743,0.031137412717493023,0.2307756750716844,0.3850360177982739,0.5993612659701649
0.5,19,1.6634954594235861e-6,-5.778978380217444,0.2578472455086398,0.031009702905343106,0.22683754260329672,0.38739606889871125,0.5855442551292532
0.5,20,2.0857333214044e-6,-5.680741220572138,0.2538256774846388,0.03088931956334147,0.22293635792129732,0.38973170285083203,0.572025206803936
0.5,21,2.6068938046945255e-6,-5.583876660037862,0.24986918410988912,0.03077666901222496,0.21909251509766417,0.3920298554270625,0.5588669129778218
0.5,22,3.2482112463130905e-6,-5.488355734318549,0.2460082725516743,0.030672858648396594,0.2153354139032777,0.39427160052377686,0.5461600927310303
0.5,23,4.035221185065842e-6,-5.394132655038355,0.24229025733657492,0.030580190083015872,0.21171006725355904,0.3964284296316909,0.5340436039116876
0.5,24,4.998798639423387e-6,-5.301134357055889,0.2387917316462587,0.03050303086635763,0.20828870077990105,0.3984558898357846,0.5227396710480122
0.5,25,6.176721091598201e-6,-5.209242008685711,0.23564110842254019,0.030449356503895336,0.20519175191864486,0.4002820906106064,0.5126178680780775
