nu_b,path,t,regime,phi_US,phi_W,e_US,e_W,Q_US,Q_W,q_US,q_W,N_US,N_W
0.5,all_u,26,u,0.8622827707939091,0.7635335369045603,5.902612848005646,14.283452966842631,2.5503687617021433,6.534931720632805,1.6011913654678465,2.235065896201325,1.550099397062403,2.804452012219438
0.5,realized_switch_tau_5,26,b,0.8755670885557487,0.7882320058915426,2.3393733852800356,6.996801404826715,1.1965189726227679,3.0055291773835244,0.6832277648930554,1.1093335373167839,1.7087490068115017,2.6098285895435684
0.5,all_u,27,u,0.8636337838021169,0.7611466693197734,6.197297868067772,14.887987329224224,2.636287720160166,6.853727969611645,1.611191230645695,2.247473073408062,1.5927944758538966,2.9238206049045132
0.5,realized_switch_tau_5,27,b,0.8755671337072036,0.7882319945543487,2.368304000188326,7.083327855586066,1.2113159869804535,3.0426973583806896,0.6748815615073355,1.0818153255915692,1.751273929580507,2.7093106593109866
0.5,all_u,28,u,0.8680963848003873,0.7577609128096467,6.503604869476591,15.523011892319705,2.704536674335082,7.209148057852529,1.61041820345782,2.265250555204122,1.6362351470245138,3.049526177067239
0.5,realized_switch_tau_5,28,b,0.8755671368556863,0.7882319937657997,2.397592383687283,7.17092595392479,1.2262961021074337,3.0803257939459585,0.6666373743761219,1.054979941653455,1.7948571365248174,2.812584815912874
0.5,all_u,29,u,0.8780599205510675,0.7527782207199691,6.81454427000655,16.19209811087463,2.7365647641291275,7.618205080912347,1.590695445522982,2.2917991237531012,1.6794002132663544,3.182494775816493
0.5,realized_switch_tau_5,29,b,0.8755670716965487,0.788232010265815,2.4272429695155155,7.259610028691532,1.2414616634950095,3.1184205831435103,0.658493988622432,1.0288105693282268,1.8395249790113748,2.919795602102356
0.5,all_u,30,u,0.89789232957512,0.7453491932369003,7.116113532589471,16.900587409466947,2.701320016063326,8.108054100738526,1.538784235811165,2.332257318645015,1.720357452352805,3.324115539601309
0.5,realized_switch_tau_5,30,b,0.8755671471982645,0.788231991133164,2.4572602564572494,7.349385366568293,1.2568143879223481,3.156984413176276,0.6504498876329802,1.0032896779338338,1.885304474976521,3.031093066218903
0.5,all_u,31,u,0.9333538229951467,0.7351018208935178,7.381351595241176,17.657950326481007,2.5652164679198157,8.704411382575756,1.4420327992640443,2.3898458465632237,1.7554897907043703,3.4764835063092905
0.5,realized_switch_tau_5,31,b,0.8755671536735226,0.7882319894912156,2.487648742524707,7.440273606321164,1.2723571619679956,3.196026161456725,0.6425041482832645,0.9784021751465202,1.9322232378207624,3.1466330040170876
0.5,all_u,32,u,0.9461917214668756,0.7322028316286148,7.559790728815477,18.494801048443716,2.5389281054807658,9.187672214267689,1.4120587435672058,2.406524964485308,1.7788891273686696,3.6422480534019996
0.5,realized_switch_tau_5,32,b,0.8755670796916903,0.7882320083265855,2.518413034577206,7.53228905480661,1.2880923822883863,3.2355519440752483,0.6346555772577045,0.9541323901909047,1.9803096452648024,3.2665771220082434
0.5,all_u,33,u,0.9540729757874845,0.7309696899993338,7.706960396529286,19.38403991501569,2.5318821941668173,9.661199764055464,1.395323455152362,2.4136727294861187,1.7980329196976694,3.817817122139304
0.5,realized_switch_tau_5,33,b,0.8755671433117548,0.7882319921178671,2.5495578035047575,7.6254369697954605,1.3040218063601619,3.2755644719668826,0.6269026998317864,0.9304640376269192,2.0295927877198046,3.391093287827565
0.5,all_u,34,u,0.9588514720100221,0.7306952913874736,7.834713944827266,20.32219039908918,2.5366238420770335,10.136218105940419,1.3865258834425318,2.415267581031612,1.8145485799852403,4.002696656440401
0.5,realized_switch_tau_5,34,b,0.8755671298606673,0.7882319955568717,2.5810877170390167,7.719739895519157,1.3201484447416238,3.3160729825002204,0.6192446323253517,0.9073831256131235,2.080102393417772,3.520355800446594
0.5,all_u,35,u,0.9613115429763517,0.7310455853421333,7.95079471507308,21.308015537154454,2.5508342363968506,10.617973790132023,1.3835875523133885,2.413231891684499,1.8294817805917798,4.196726766651264
0.5,realized_switch_tau_5,35,b,0.8755671111802543,0.7882320003377273,2.6130075585738206,7.815209277152357,1.3364745362409356,3.357082540974048,0.611680119377911,0.8848747771603988,2.1318690156171054,3.65454557054886
0.5,all_u,36,u,0.9619350168957294,0.731811400254948,8.061303666633624,22.341202941549646,2.5735251557921837,11.11005985825629,1.3853485868711006,2.4087904083386236,1.8436377460405742,4.399897841031929
0.5,realized_switch_tau_5,36,b,0.8755671627199665,0.7882319871477413,2.6453221529380957,7.9118564262525375,1.3530023193853846,3.3985981714359212,0.6042079242465732,0.8629244873472022,2.184923939656814,3.793850415475815
0.5,all_u,37,u,0.9610772352404031,0.7328465956170576,8.17133572608724,23.4220095582057,2.604194027442708,11.615387256359337,1.3910293372350087,2.4028060674803307,1.8576733539712604,4.612298280413302
0.5,realized_switch_tau_5,37,b,0.8755670598963683,0.7882320134928711,2.6780363600653967,8.009705179641673,1.3697349645456252,3.4406296199281607,0.5968272002336368,0.8415192922528834,2.2392991966673272,3.9384653249137402
0.5,all_u,38,u,0.9590257638074404,0.7340442523889585,8.285229576890321,24.551119529628966,2.6425480830132795,12.13650909805203,1.400043004179245,2.395910340333957,1.8721345105626195,4.834092694188863
0.5,realized_switch_tau_5,38,b,0.35983689704097727,0.8307503077159056,3.0733242402305847,86.57229507567014,6.869528345345531,33.48052139507001,2.6534892156798433,7.946669361406894,2.2950277132299304,4.088592681835063
0.5,all_u,39,u,0.9560232367527025,0.7353249006941188,8.406703539302068,25.72957317570854,2.6883997124047063,12.675754495863828,1.4119172521802692,2.388569564372245,1.8874763668866263,5.065510546759596
0.5,realized_switch_tau_5,39,b,0.9177167408272738,0.775708156621782,2.8807545694552346,6.859503592330018,1.3421737712266177,3.041696796095644,0.5100471113844098,0.6939368876782758,2.5888661256855747,4.213151431424668
0.5,all_u,40,u,0.9522776377996629,0.7366294415632884,8.538954693942866,26.958724626567758,2.741622221803731,13.235298339161623,1.4262562512419443,2.381126466841493,1.904077387150915,5.306839158019341
0.5,realized_switch_tau_5,40,b,0.30601531456307485,0.8306456563485409,3.515897169931665,125.52966236326976,9.525320853999162,48.55898643771055,3.1785925989981623,10.750595110912583,2.6314701941622305,4.3832470216021155
0.5,all_u,41,u,0.9479673780698112,0.7379143642952033,8.684743927725961,28.24021343364327,2.802132008091114,13.81720460632934,1.4427211499686294,2.3738292589898595,1.9222508012963326,5.558418892683986
0.5,realized_switch_tau_5,41,b,0.9472836668196971,0.7643508562475676,3.10090414406969,6.161447058649208,1.3557123438141978,2.8130233210642817,0.44768020534020747,0.5974406985473989,2.996710197148694,4.51686496763513
0.5,all_u,42,u,0.9432445519587493,0.7391482009225431,8.846474308080127,29.575943763075802,2.869881174333393,14.423459659863187,1.461018705347518,2.366853699189421,1.9422547511361037,5.820639607504461
0.5,realized_switch_tau_5,42,b,0.25991742669733864,0.8302641930428282,4.098797003483426,179.0257734241531,13.108745752528764,69.31699983721833,3.7706250321861035,14.285358071286392,3.0283053117882344,4.708456132807474
0.5,all_u,43,u,0.9382378522792847,0.7403087358902422,9.026263677359832,30.968068525587668,2.9448527203775567,15.056002575557995,1.4808931042220803,2.3603205773136318,1.964301458858299,6.0939379839162875
0.5,realized_switch_tau_5,43,b,0.9698484821935481,0.7535003089926428,3.341488178150865,5.6762652816262955,1.3930263633484634,2.6655869578809943,0.39829098719294864,0.5260049888842923,3.4765445093671055,4.852310981027888
0.5,all_u,44,u,0.9330572453256216,0.7413804903188363,9.226010134741468,32.418976729494716,3.02704401623665,15.716765441469988,1.5021139314092287,2.3543112321980417,1.9885653542323036,6.378795626437231
0.5,realized_switch_tau_5,44,b,0.21984000440316256,0.8297416813482505,4.874954025807346,252.60793102560447,17.963983359834764,97.93109623355903,4.4429756379921965,18.750285839983555,3.497509128102926,5.067607749376985
1.0,all_u,1,u,0.9916090208872531,0.7472566606501273,2.6895248164064807,5.085165954015843,1.071776358813287,2.42739374428042,1.069980721636029,2.3217677060983037,1.0,1.0
1.0,realized_switch_tau_5,1,u,0.9916090208872531,0.7472566606501273,2.6895248164064807,5.085165954015843,1.071776358813287,2.42739374428042,1.069980721636029,2.3217677060983037,1.0,1.0
1.0,all_u,2,u,0.9830098606845735,0.750930575928309,2.697110467938897,5.318385016017659,1.0931911228807925,2.5143667504214693,1.0876636962008168,2.301762399235278,1.0016781958225494,1.045493801082977
1.0,realized_switch_tau_5,2,u,0.9830098606845735,0.750930575928309,2.697110467938897,5.318385016017659,1.0931911228807925,2.5143667504214693,1.0876636962008168,2.301762399235278,1.0016781958225494,1.045493801082977
1.0,all_u,3,u,0.974961338109722,0.7540744142152253,2.713147158553661,5.558501016860468,1.116478301578156,2.606374690610627,1.1052980925016282,2.284848064507569,1.0050819262417996,1.0923658980861037
1.0,realized_switch_tau_5,3,u,0.974961338109722,0.7540744142152253,2.713147158553661,5.558501016860468,1.116478301578156,2.606374690610627,1.1052980925016282,2.284848064507569,1.0050819262417996,1.0923658980861037
1.0,all_u,4,u,0.9675157873150325,0.7567266263661402,2.7372302037558436,5.806038417311458,1.1414215881896903,2.703687828640746,1.1226976120109102,2.2707233212335542,1.010115107546439,1.1407212282941683
1.0,realized_switch_tau_5,4,u,0.9675157873150325,0.7567266263661402,2.7372302037558436,5.806038417311458,1.1414215881896903,2.703687828640746,1.1226976120109102,2.2707233212335542,1.010115107546439,1.1407212282941683
1.0,all_u,5,u,0.9607479496408906,0.7589109164679286,2.7689611199166486,6.061554945307672,1.167711678693506,2.8066871883738784,1.1396100315788253,2.259188686818729,1.0166776663444066,1.1906725065790873
