T_report,n_buffer,t,terminal_contaminated,bubble_share_LL,bubble_share_HKT_scalar,bubble_share_difference,abs_bubble_share_difference,fundamental_share_LL,fundamental_share_HKT_scalar,q_US_LL,q_US_HKT_scalar,phi_US_LL,phi_US_HKT_scalar
105,0,84,false,0.8579533275404353,0.857953335715122,8.174686705331169e-9,8.174686705331169e-9,0.1420466724595648,0.1420466642848779,150.45850710586646,150.45852794808502,0.05704976319427649,0.05704975922456827
105,0,85,false,0.8673577390467186,0.8673577466746607,7.62794205577677e-9,7.62794205577677e-9,0.13264226095328144,0.13264225332533933,164.1305262482319,164.13054878081115,0.05464600267122245,0.054645998903927566
105,0,86,false,0.876460988369899,0.8764609954676468,7.097747722895065e-9,7.097747722895065e-9,0.123539011630101,0.12353900453235318,179.07471789237903,179.07474224994434,0.05233825093908517,0.052338247365143274
105,0,87,false,0.8852680639370317,0.8852680705212703,6.584238598783543e-9,6.584238598783543e-9,0.11473193606296823,0.11473192947872964,195.41105847199245,195.41108480028504,0.050123074446287406,0.050123071056866315
105,0,88,false,0.8937842624314032,0.893784268518868,6.087464865522918e-9,6.087464865522918e-9,0.1062157375685968,0.10621573148113189,213.27090627467152,213.2709347314814,0.047997134663425284,0.04799713144994207
105,0,89,false,0.9020151501318981,0.9020151557392999,5.607401765139741e-9,5.607401765139741e-9,0.09798484986810185,0.09798484426070012,232.7980844446679,232.7981152008441,0.04595718697178166,0.04595718392591881
105,0,90,false,0.9099665261331153,0.9099665312770732,5.143957815256783e-9,5.143957815256783e-9,0.09003347386688458,0.09003346872292683,254.15006722071936,254.1501004612641,0.044000079554356294,0.04400007666807352
105,0,91,false,0.9176443875058087,0.917644392202792,4.696983357810325e-9,4.696983357810325e-9,0.08235561249419125,0.082355607797208,277.49927925330843,277.4993151785583,0.04212275227006216,0.042122749535604756
105,0,92,false,0.9250548964352084,0.9250549007014863,4.2662778865221185e-9,4.2662778865221185e-9,0.07494510356479143,0.07494509929851377,303.0345187850877,303.0345576119901,0.04032223549604258,0.040322232905946546
105,0,93,false,0.9322043493547523,0.9322043532063488,3.851596486192932e-9,3.851596486192932e-9,0.0677956506452477,0.0677956467936513,330.96251650728914,330.96255847078146,0.03859564892689915,0.038595646473993564
105,0,94,false,0.9390991480747691,0.9390991515274265,3.4526573822191153e-9,3.4526573822191153e-9,0.06090085192523078,0.06090084847257349,361.5096430321717,361.50968838666796,0.03694020032298525,0.03694019800039238
105,0,95,false,0.9457457728897375,0.9457457759588839,3.0691463814846998e-9,3.0691463814846998e-9,0.054254227110262454,0.05425422404111621,394.9237791564025,394.92382817739156,0.035353184202821034,0.03535318200395465
105,0,96,false,0.9521507576338188,0.9521507603345414,2.700722534498823e-9,2.700722534498823e-9,0.04784924236618124,0.047849239665458586,431.47636444287593,431.47641742864676,0.033831980477150615,0.0338319783957124
105,0,97,false,0.9583206666424083,0.9583206689894324,2.347024019577759e-9,2.347024019577759e-9,0.041679333357591705,0.041679331010567686,471.4646411302301,471.4646984037186,0.032374053024217884,0.032374051054192804
105,0,98,false,0.964262073567662,0.9642620755753324,2.00767036329097e-9,2.00767036329097e-9,0.03573792643233797,0.03573792442466759,515.2141120023322,515.2141739131006,0.030976948207525164,0.030976946343175656
105,0,99,false,0.9699815419855298,0.9699815436677979,1.6822681025985275e-9,1.6822681025985275e-9,0.030018458014470253,0.03001845633220212,563.0812326283765,563.0812995547344,0.029638293338678602,0.02963829157453783
105,0,100,false,0.9754856077303232,0.9754856091007369,1.3704136714309811e-9,1.3704136714309811e-9,0.024514392269676683,0.02451439089926304,615.4563603309571,615.4564326822116,0.02835579508900997,0.02835579341987463
105,0,101,false,0.9807807628803874,0.9807807639520838,1.0716963982915217e-9,1.0716963982915217e-9,0.019219237119612532,0.019219236047916137,672.7669843741986,672.7670625930486,0.027127237854419235,0.027127236275341714
105,0,102,false,0.9858734413200249,0.9858734421057269,7.857020589696617e-10,7.857020589696617e-10,0.014126558679975023,0.014126557894273004,735.4812642002133,735.4813487652757,0.025950482078487463,0.025950480584767763
105,0,103,false,0.9907700057978354,0.9907700063098506,5.120152080095863e-10,5.120152080095863e-10,0.00922999420216462,0.009229993690149355,804.1119051025979,804.1119965310578,0.02482346253927791,0.024823461126455393
105,0,104,false,0.9954767364003609,0.9954767366505839,2.502229534684375e-10,2.502229534684375e-10,0.004523263599639085,0.004523263349416113,879.2204035300246,879.2205023803973,0.023744186605465203,0.02374418526931014
105,0,105,true,0.9999998203592264,0.9999998203591443,-8.215650382226158e-14,8.215650382226158e-14,1.796407736567318e-7,1.796408557595468e-7,961.4216972850146,961.4218041599836,0.022710732467517872,0.022710731204023213
