t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
44,b,62.75654688065571,66.60599032287196,0.6933034373659253,1.061339312526815,160.1033877829492,10.45850537841487,0.1666520211557184,7.211849430599321,1.201869283880094,1.201869283880094,0,0,1.201869283880094,0,80.05169389147459,80.05169389147459,0,0
45,b,66.60599032287196,70.69155597944462,0.6933034373659253,1.061339312526815,170.9386216677017,11.16630021916924,0.1676470864713623,7.211849430599321,1.209045545110129,1.209045545110129,0,0,1.209045545110129,0,85.46931083385084,85.46931083385084,0,0
46,b,70.69155597944462,75.02772742467459,0.6933034373659253,1.061339312526815,182.5071460528179,11.92199612403095,0.1686480932389942,7.211849430599321,1.216264655197301,1.216264655197301,0,0,1.216264655197301,0,91.25357302640894,91.25357302640894,0,0
47,b,75.02772742467459,79.62987664535339,0.6933034373659253,1.061339312526815,194.8585874589288,12.72883486845597,0.1696550769345281,7.211849430599321,1.22352686998856,1.22352686998856,0,0,1.22352686998856,0,97.4292937294644,97.4292937294644,0,0
48,b,79.62987664535339,84.51431853537444,0.6933034373659253,1.061339312526815,208.0459309549472,13.5902776198554,0.1706680732457022,7.211849430599321,1.2308324468585,1.2308324468585,0,0,1.2308324468585,0,104.0229654774736,104.0229654774736,0,0
49,b,84.51431853537444,89.69836873300656,0.6933034373659253,1.061339312526815,222.1257474527965,14.51001978527092,0.1716871180733427,7.211849430599321,1.238181644718475,1.238181644718475,0,0,1.238181644718475,0,111.0628737263983,111.0628737263983,0,0
50,b,89.69836873300656,95.20040500586593,0.6933034373659253,1.061339312526815,237.158436384647,15.49200686388876,0.1727122475326368,7.211849430599321,1.245574724025776,1.245574724025776,0,0,1.245574724025776,0,118.5792181923235,118.5792181923235,0,0
51,b,95.20040500586593,101.0399324012001,0.6933034373659253,1.061339312526815,253.2084848036944,16.54045137239592,0.1737434979544126,7.211849430599321,1.253011946792865,1.253011946792865,0,0,1.253011946792865,0,126.6042424018472,126.6042424018472,0,0
52,b,101.0399324012001,107.2376523924456,0.6933034373659253,1.061339312526815,270.3447440199656,17.65985091578503,0.1747809058864263,7.211849430599321,1.260493576596657,1.260493576596657,0,0,1.260493576596657,0,135.1723720099828,135.1723720099828,0,0
53,b,107.2376523924456,113.8155362671877,0.6933034373659253,1.061339312526815,288.6407249578644,18.85500748112768,0.1758245080946582,7.211849430599321,1.268019878587866,1.268019878587866,0,0,1.268019878587866,0,144.3203624789322,144.3203624789322,0,0
54,b,113.8155362671877,120.7969030166878,0.6933034373659253,1.061339312526815,308.1749135024747,20.13104803708232,0.1768743415646144,7.211849430599321,1.275591119500394,1.275591119500394,0,0,1.275591119500394,0,154.0874567512373,154.0874567512373,0,0
55,b,120.7969030166878,128.2065020030997,0.6933034373659253,1.061339312526815,329.0311071873924,21.49344652750455,0.1779304435026391,7.211849430599321,1.283207567660793,1.283207567660793,0,0,1.283207567660793,0,164.5155535936962,164.5155535936962,0,0
56,b,128.2065020030997,136.0706006974376,0.6933034373659253,1.061339312526815,351.2987746684058,22.9480473535074,0.1789928513372323,7.211849430599321,1.290869492997768,1.290869492997768,0,0,1.290869492997768,0,175.6493873342029,175.6493873342029,0,0
57,b,136.0706006974376,144.4170777993291,0.6933034373659253,1.061339312526815,375.0734395250884,24.50109044470492,0.180061602720376,7.211849430599321,1.298577167051745,1.298577167051745,0,0,1.298577167051745,0,187.5367197625442,187.5367197625442,0,0
58,b,144.4170777993291,153.2755220686715,0.6933034373659253,1.061339312526815,400.4570900367344,26.15923802718929,0.1811367355288697,7.211849430599321,1.306330862984499,1.306330862984499,0,0,1.306330862984499,0,200.2285450183673,200.2285450183673,0,0
59,b,153.2755220686715,162.6773372195525,0.6933034373659253,1.061339312526815,427.5586166904851,27.92960320307027,0.1822182878656715,7.211849430599321,1.314130855588826,1.314130855588826,0,0,1.314130855588826,0,213.7793083452425,213.7793083452425,0,0
60,b,162.6773372195525,172.6558532482927,0.6933034373659253,1.061339312526815,456.4942792984692,29.81978046417773,0.1833062980612498,7.211849430599321,1.321977421298294,1.321977421298294,0,0,1.321977421298294,0,228.2471396492346,228.2471396492346,0,0
61,b,172.6558532482927,183.2464445902736,0.6933034373659253,1.061339312526815,487.3882057277835,31.83787827082356,0.1844008046749402,7.211849430599321,1.329870838197024,1.329870838197024,0,0,1.329870838197024,0,243.6941028638917,243.6941028638917,0,0
62,b,183.2464445902736,194.4866555244241,0.6933034373659253,1.061339312526815,520.3729243827676,33.99255383538018,0.1855018464963137,7.211849430599321,1.337811386029562,1.337811386029562,0,0,1.337811386029562,0,260.1864621913838,260.1864621913838,0,0
63,b,194.4866555244241,206.4163332699317,0.6933034373659253,1.061339312526815,555.5899327238016,36.29305025988876,0.1866094625465499,7.211849430599321,1.345799346210781,1.345799346210781,0,0,1.345799346210781,0,277.7949663619007,277.7949663619007,0,0
64,b,206.4163332699317,219.0777692470152,0.6933034373659253,1.061339312526815,593.1903042614574,38.74923618701035,0.1877236920798209,7.211849430599321,1.353835001835858,1.353835001835858,0,0,1.353835001835858,0,296.5951521307286,296.5951521307286,0,0
65,b,219.0777692470152,232.5158490025353,0.6933034373659253,1.061339312526815,633.3353366298786,41.3716481344138,0.1888445745846823,7.211849430599321,1.361918637690312,1.361918637690312,0,0,1.361918637690312,0,316.6676683149393,316.6676683149393,0,0
66,b,232.5158490025353,246.7782113319396,0.6933034373659253,1.061339312526815,676.1972435194841,44.17153569420594,0.1899721497854725,7.211849430599321,1.370050540260088,1.370050540260088,0,0,1.370050540260088,0,338.0986217597421,338.0986217597421,0,0
67,b,246.7782113319396,261.9154171616378,0.6933034373659255,1.061339312526815,721.9598934372447,47.16090979130038,0.1911064576437204,7.211849430599318,1.378230997741718,1.378230997741718,0,0,1.378230997741718,0,360.9799467186222,360.9799467186222,0,0
68,b,261.9154171616378,277.9811287905066,0.6933034373659255,1.061339312526815,770.8195984636525,50.35259420774263,0.192247538359562,7.211849430599318,1.386460300052528,1.386460300052528,0,0,1.386460300052528,0,385.4097992318261,385.4097992318261,0,0
69,b,277.9811287905066,295.0323001259443,0.6933034373659255,1.061339312526815,822.9859563899909,53.76028059402051,0.1933954323731651,7.211849430599318,1.394738738840919,1.394738738840919,0,0,1.394738738840919,0,411.4929781949951,411.4929781949951,0,0
70,b,295.0323001259443,313.1293785888747,0.6933034373659253,1.061339312526815,878.6827498484859,57.39858720334617,0.1945501803661623,7.211849430599321,1.403066607496702,1.403066607496702,0,0,1.403066607496702,0,439.3413749242429,439.3413749242429,0,0
