T_report,t,s,payoff_t,all_u_probability,all_u_discount_factor,dividend_US,pv_contribution,expected_all_u_contribution,log10_pv_contribution
105,36,20,56,0.011529215046068483,5.696506974149378,0.5189698395977714,2.956315310641889,0.03408399496037509,0.4707507525810231
105,36,21,57,0.009223372036854787,6.337158345345154,0.5409435465305584,3.4280449102567334,0.03161813356634433,0.5350465029095381
105,36,22,58,0.00737869762948383,7.058744955177536,0.5639051499400897,3.9804626323382397,0.029370630189483136,0.5999335512182183
105,36,23,59,0.005902958103587064,7.871881443331639,0.5878998541618047,4.627877952513687,0.02731816966220258,0.6653818971144669
105,36,24,60,0.004722366482869652,8.788609133704867,0.6129753804355057,5.387201027231702,0.02544033756747995,0.73136318185531
105,36,25,61,0.0037778931862957215,9.82259076224277,0.6391820406859112,6.278423608232915,0.023719213770221327,0.7978506144082428
105,36,26,62,0.0030223145490365774,10.989332147668481,0.666572814251924,7.32519005642052,0.022139028481977803,0.8648188972014225
105,36,27,63,0.002417851639229262,12.306434552424708,0.6952034288636405,8.555475497931637,0.020685870457059795,0.9322441518536405
105,36,28,64,0.0019342813113834097,13.793882004982898,0.7251324469919728,10.002391411791786,0.01934743877697077,1.0001038452781668
105,36,29,65,0.0015474250491067279,15.474368452435815,0.7564213585266216,11.705142807132995,0.01811283118312904,1.0683767166205542
105,36,30,66,0.0012379400392853823,17.37367029215452,0.7891346805604853,13.710165756162553,0.016972363134792973,1.1370427054497296
105,36,31,67,0.0009903520314283058,19.521070612416334,0.8233400649584166,16.072479546084704,0.015917412768554882,1.2060828817486198
105,36,32,68,0.0007922816251426448,21.949842353235148,0.8591084142096554,18.857294256239783,0.014940287739126716,1.2754793780150693
105,36,33,69,0.0006338253001141158,24.697798613287638,0.8965140060062581,22.14192237433431,0.0140341105940159,1.345215323874333
105,36,34,70,0.0005070602400912927,27.807919480322685,0.9356346268954624,26.018052367710776,0.013192719880279253,1.4152747834779147
105,36,35,71,0.00040564819207303417,31.329066077609706,0.9765517152998671,30.59445321683264,0.012410584634871186,1.4856426959038278
105,36,36,72,0.00032451855365842736,35.31679401867425,1.0193505141608254,36.00019214144756,0.011682730285168046,1.5563048187047244
105,36,37,73,0.00025961484292674194,39.83428017300578,1.0641202334380693,42.388463516536355,0.011004674297751517,1.6272476746860922
105,36,38,74,0.00020769187434139353,44.95337859626606,1.1109542226896514,49.94114577568837,0.010372370172909486,1.6984585019390528
105,36,39,75,0.00016615349947311485,50.755823703600555,1.159950153958618,58.87422551928792,0.00978215859879905,1.7699252071023552
105,36,40,76,0.00013292279957849188,57.33460130257096,1.211210215203988,69.4442547823218,0.009230724760308288,1.8416363217864593
105,36,41,77,0.00010633823966279351,64.79551099701676,1.2648413145319972,81.95603930523917,0.008715060949453849,1.9135809620590458
105,36,42,78,8.507059173023481e-5,73.25894677506925,1.320955295507326,96.77179368581706,0.008232433751648657,1.9857487908654432
105,36,43,79,6.805647338418786e-5,82.86192636091087,1.3796691638519434,114.32204465751917,0.007780355189460389,2.0581299832386266
105,36,44,80,5.444517870735029e-5,93.76040420609598,1.4411053258702644,135.11861785715362,0.0073565572959229004,2.1307151941407985
105,36,45,81,4.355614296588023e-5,106.13190789695508,1.5053918389725593,159.7701080026635,0.006958969665838137,2.203495528771215
105,36,46,82,3.484491437270419e-5,120.1785433449264,1.5726626747035128,189.00030941880397,0.006585699598112821,2.276462515172023
105,36,47,83,2.7875931498163353e-5,136.1304205037366,1.6430579947189556,223.67017573311762,0.006235014496918546,2.3496080789645686
105,36,48,84,2.2300745198530684e-5,154.2495586320105,1.7167244401908095,264.80398719221756,0.005905326245928626,2.4229245200521854
105,36,49,85,1.7840596158824548e-5,174.8343384185788,1.7938154351580053,313.620534850885,0.0055951773093892,2.496404491131193
105,36,50,86,1.4272476927059638e-5,198.22457775473563,1.8744915043794437,371.5702869604544,0.005303228347424014,2.570040977859141
105,36,51,87,1.1417981541647711e-5,224.80731873759564,1.9589206062838995,440.37968911850857,0.005028247161671689,2.6438272805377547
105,36,52,88,9.13438523331817e-6,255.02342580929445,2.047278481651232,522.1039719763481,0.004769098811877519,2.7177569971770987
105,36,53,89,7.307508186654536e-6,289.37510899238674,2.1397490186992436,619.190105502446,0.0045247367650546105,2.791824007816919
105,36,54,90,5.846006549323629e-6,328.4345022168834,2.2365246352913304,734.5518552877048,0.004294194956829745,2.8660224599906443
105,36,55,91,4.676805239458904e-6,372.8534450279029,2.3378066790215826,871.6592740824377,0.004076580660051689,2.9403467552268596
105,36,56,92,3.741444191567123e-6,423.37463683320846,2.443805845976449,1034.6454125311514,0.0038710680690462462,3.014791536492216
105,36,57,93,2.9931553532536988e-6,480.84435666007175,2.5547426190156792,1228.4335710726612,0.003676892519372694,3.089351676488376
105,36,58,94,2.394524282602959e-6,546.226968555377,2.6708477264598627,1458.8890570971907,0.003493345272842958,3.164022266723833
105,36,59,95,1.9156194260823675e-6,620.6214637543844,2.792362622118102,1733.000177871967,0.0033197688061357383,3.23879860728911
105,36,60,96,1.532495540865894e-6,705.2803261016774,2.9195399876366603,2059.0941145472707,0.0031555525487668985,3.313676197270987
105,36,61,97,1.2259964326927152e-6,801.6310475478734,3.052644258198785,2447.094414490892,0.0030001290226281023,3.388650725747943
105,36,62,98,9.807971461541723e-7,911.3006665700153,3.191952172656463,2908.8281426014432,0.0028529703409164373,3.463718063314903
105,36,63,99,7.846377169233378e-7,1036.1437548749973,3.337753349228909,3458.3922881166386,0.0027135850291731176,3.538874254091602
105,36,64,100,6.277101735386703e-7,1178.2743376527544,3.490350887954501,4112.59088068029,0.002581515135405378,3.6141155081718574
105,36,65,101,5.021681388309362e-7,1340.1023010036847,3.650062001143847,4891.456486538982,0.002456333600017791,3.689438194478205
105,36,66,102,4.0173451106474904e-7,1524.3749181495066,3.817218673138188,5818.872402423793,0.002337641859535884,3.7648388339882515
105,36,67,103,3.2138760885179925e-7,1734.2242150178822,3.9921683507403474,6923.315024281913,0.0022250676609817006,3.8403140933035664
105,36,68,104,2.571100870814394e-7,1973.220997312995,4.175274665749864,8238.739640006632,0.002118263066283412,3.9158607785349497
105,36,69,105,2.0568806966515154e-7,2245.436477016894,4.366918191101384,9805.637398447676,0.002016902628323121,3.9914758294807378
105,37,1,38,0.8,1.068529441515029,0.25374143784914027,0.2711301968741623,0.21690415749932984,-0.5668221105807324
105,37,2,39,0.6400000000000001,1.1452677495946175,0.2633045793665956,0.30155424306913836,0.19299471556424858,-0.5206345563372872
105,37,3,40,0.5120000000000001,1.2311347283534289,0.2733692730773645,0.33655440575027545,0.17231585574414107,-0.47294471982864567
105,37,4,41,0.4096000000000001,1.327176162439593,0.28395229309257336,0.37685471466252407,0.1543596911257699,-0.4238260470921777
105,37,5,42,0.3276800000000001,1.4345797552712545,0.29507090181667006,0.4233027421158269,0.1387078425365142,-0.37334891819758165
105,37,6,43,0.2621440000000001,1.5546932600062664,0.30674297742195555,0.47689123955216867,0.12501417710116375,-0.32158065544220155
105,37,7,44,0.20971520000000007,1.6890450841175726,0.3189871502510384,0.53878367802819,0.11299112679441752,-0.26858556931442007
105,37,8,45,0.1677721600000001,1.8393676909130066,0.3318229459354352,0.610344405857213,0.10239879931458132,-0.21442503162102
105,37,9,46,0.13421772800000006,2.0076241819456127,0.345270931134956,0.693174270669416,0.09303627571730609,-0.15915756585666951
105,37,10,47,0.10737418240000006,2.19603847992045,0.3593528603447135,0.7891527091864705,0.08473462693764229,-0.10283894819776479
105,37,11,48,0.08589934592000005,2.4071296136502265,0.37409182000647995,0.9004874981619081,0.07735128710124516,-0.04552231229140691
105,37,12,49,0.06871947673600004,2.6437506694684263,0.3895123679220158,1.0297735834600612,0.07076550181193107,0.012741746779741325
105,37,13,50,0.054975581388800036,2.909133053511642,0.4056406658575862,1.1800626688947753,0.0648746312977093,0.07190507174043304
105,37,14,51,0.043980465111040035,3.2069368032481775,0.4225046039823079,1.3549455640526598,0.059591136107176465,0.13192184745659224
105,37,15,52,0.03518437208883203,3.541307788514491,0.44013391636452026,1.5586496660110611,0.05484010980506695,0.19274851081685695
105,37,16,53,0.028147497671065624,3.9169427597997997,0.45856028720781467,1.7961543969103664,0.05055725170390882,0.25434366576344203
105,37,17,54,0.022517998136852502,4.339163333900614,0.4778174484625059,2.0733279526664523,0.046687194975227386,0.3166680028986638
105,37,18,55,0.018014398509482003,4.814000159021026,0.4979412694162352,2.3970893501528874,0.04318212281648936,0.3796842224171096
105,37,19,56,0.014411518807585602,5.348288671415913,0.5189698395977714,2.7756005139272943,0.04000061900880747,0.4433569592317647
105,37,20,57,0.011529215046068483,5.949778055426556,0.5409435465305584,3.2184940423721313,0.03710670993899855,0.5076527095602799
105,37,21,58,0.009223372036854787,6.627255237202187,0.5639051499400897,3.7371433582257434,0.034469063547976915,0.57253975786896
105,37,22,59,0.00737869762948383,7.390686000588358,0.5878998541618047,4.344983221901588,0.03206031739959226,0.6379881037652086
105,37,23,60,0.005902958103587064,8.251375602733283,0.6129753804355057,5.057890099201685,0.029856513348135365,0.7039693885060517
105,37,24,61,0.004722366482869652,9.222151598524494,0.6391820406859112,5.894633678259725,0.027836620511008374,0.7704568210589845
105,37,25,62,0.0037778931862957215,10.317571960943383,0.666572814251924,6.8774129782527735,0.02598213162988292,0.8374251038521642
105,37,26,63,0.0030223145490365774,11.554162015588977,0.6952034288636405,8.032493050883488,0.024276720612720373,0.9048503585043822
105,37,27,64,0.002417851639229262,12.950684199436795,0.7251324469919728,9.390961323757882,0.022705951230586593,0.9727100519289086
105,37,28,65,0.0019342813113834097,14.528445215120007,0.7564213585266216,10.989626266900672,0.021257028707154197,1.040982923271296
105,37,29,66,0.0015474250491067279,16.311645790325798,0.7891346805604853,12.872085390164534,0.01991858736698135,1.1096489121004713
105,37,30,67,0.0012379400392853823,18.327778985276574,0.8233400649584166,15.089994740281115,0.018680508681599817,1.1786890883993615
105,37,31,68,0.0009903520314283058,20.608083818716374,0.8591084142096554,17.704578209397088,0.017533764995257724,1.248085584665811
105,37,32,69,0.0007922816251426448,23.18806193546041,0.8965140060062581,20.788422297280842,0.01647028500184126,1.3178215305250747
105,37,33,70,0.0006338253001141158,26.108066119670436,0.9356346268954624,24.42761070283991,0.015482837684798294,1.3878809901286564
105,37,34,71,0.0005070602400912927,29.413970692792976,0.9765517152998671,28.724263533827003,0.014564931963907884,1.4582489025545695
105,37,35,72,0.00040564819207303417,33.157935243116185,1.0193505141608254,33.79955833858184,0.01371072973291277,1.528911025355466
105,37,36,73,0.00032451855365842736,37.39927473978157,1.0641202334380693,39.797324966510836,0.012914970337606517,1.599853881336834
105,37,37,74,0.00025961484292674194,42.20545091567825,1.1109542226896514,46.88832391529356,0.012172904848367135,1.6710647085897945
105,37,38,75,0.00020769187434139353,47.65320189270637,1.159950153958618,55.275338872065845,0.011480238735195044,1.742531413753097
105,37,39,76,0.00016615349947311485,53.82982940567315,1.211210215203988,65.19923925883933,0.01083308176584105,1.814242528437201
