T_report,n_buffer,terminal_rule,t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,q_US,v_US,B_per,Q_US,V_agg,B_agg,fundamental_share,bubble_share,NFA,NFA_fund,NFA_bubble,max_u_residual,terminal_successor_phi_US
105,0,hkt_scalar_terminal_us,36,69,false,0.0004618595038331724,2.9638205273830382e-8,2.5440828489237182e-8,-0.00014730319527919686,3.135434387270208,2.691392672019535,0.4440417152506728,67.22520379261523,57.70473832813527,9.520465464479962,0.858379522450391,0.1416204775496091,12.70990835644055,22.230373820920512,-9.520465464479962,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,37,68,false,0.0005420334707894606,3.299414222298318e-8,2.7874508761361317e-8,-0.00016139428042304314,3.3584428727504743,2.837320171815345,0.5211227009351291,81.16223339485157,68.56845589640821,12.593777498443359,0.8448320484581167,0.1551679515418834,14.513687723898101,27.10746522234146,-12.593777498443359,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,38,67,false,0.0006340881342840593,3.660017000228748e-8,3.040535921897561e-8,-0.00017604798399005228,3.601791511113748,2.992165465909748,0.6096260452040001,98.31970418366986,81.67847099674846,16.641233186921397,0.8307436609468016,0.16925633905319842,16.568414261681312,33.20964744860271,-16.641233186921397,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,39,66,false,0.0007395015727277628,4.0465874229912356e-8,3.302636190854955e-8,-0.00019122367180906115,3.867207264308589,3.1562344597022665,0.7109728046063224,119.49030889655157,97.52242503795371,21.967883858597858,0.8161534264873606,0.18384657351263942,18.907834334020492,40.87571819261835,-21.967883858597858,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,40,65,false,0.000859905180018065,4.460140947059283e-8,3.5730265443944756e-8,-0.00020687935812678193,4.156553789629844,3.3298223531126188,0.8267314365172251,145.67010698914072,116.69657196375255,28.973535025388173,0.8011017110906079,0.19889828890939212,21.569959874518617,50.54349489990679,-28.973535025388173,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,41,64,false,0.000997097411586994,4.901761775847395e-8,3.8509690961557604e-8,-0.00022297231909140273,4.47184392955188,3.513212914668614,0.9586310148832657,178.11231514422965,139.9303051904451,38.18200995378456,0.7856295903915123,0.2143704096084877,24.597592616416136,62.779602570200694,-38.18200995378456,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,42,63,false,0.001153058861910116,5.372614570449789e-8,4.1357223351495697e-8,-0.00023945962098396252,4.81525385019857,3.706678124132393,1.1085757260661775,218.39569226382613,168.11627384622548,50.27941841760065,0.7697783417959445,0.23022165820405543,28.038921175492817,78.31833959309347,-50.27941841760065,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,43,62,false,0.0013299688655676344,5.873956007940071e-8,4.426548750432692e-8,-0.0002562985616894203,5.1891390135043975,3.9104781828464406,1.278660830657957,268.51157216509637,202.3473724756318,66.16419968946457,0.7535890198103529,0.24641098018964713,31.948202685430772,98.11240237489534,-66.16419968946457,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,44,61,false,0.0015302238358946127,6.407146256857402e-8,4.722721034122422e-8,-0.00027344702985314016,5.596052137470457,4.124861846159924,1.471190291310533,330.97474559909625,243.96218380862192,87.01256179047434,0.7371021114225099,0.2628978885774901,36.38654342947501,123.39910521994935,-87.01256179047434,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,45,60,false,0.0017564575777840117,6.973660456709629e-8,5.023526964111393e-8,-0.0002908637875916121,6.038763341176626,4.350067036186262,1.6886963049903638,408.9648769419584,294.6008196765249,114.36405726543347,0.7203572636344896,0.2796427363655104,41.422792307387226,155.7868495728207,-114.36405726543347,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,46,59,false,0.002011563816052109,7.575100332679869e-8,5.328273127152507e-8,-0.0003085086860602378,6.5202825947640966,4.586321633423305,1.9339609613407918,506.5070480171832,356.27355073045425,150.23349728672895,0.7033930764145412,0.29660692358545876,47.13456599890122,197.36806328563017,-150.23349728672895,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,47,58,false,0.0022987212025192727,8.213206101064425e-8,5.63628764457952e-8,-0.00032634282327340813,7.043884647015563,4.833844362029577,2.210040284985986,628.7024894267997,431.44516643913477,197.25732298766496,0.6862469509743658,0.3137530490256342,53.609423922667816,250.86674691033278,-197.25732298766496,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,48,57,false,0.002621421069745995,8.88986885760395e-8,5.946922077062544e-8,-0.00034432865439044393,7.613136566826332,5.092845648248895,2.5202909185774374,782.0237413902106,523.1386792036388,258.88506218657176,0.6689549837370034,0.33104501626299665,60.94621492361341,319.83127711018517,-258.88506218657176,1.082157695580271e-6,0.02172068007778638
