switch_index,G_N_US,G_N_W,nu_b_eff,xi_W_seed,xi_W_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
19,1.023800887151246,1.038375065136666,0.1,1.0,0.06246387514201618,true,9.830649160650728e-10,1.0023549747641403,1.0023549741191728,6.449674128106153e-10,6.434521825950112e-10
20,1.0238003807595277,1.0383751869813647,0.1,1.0,0.06246240468998338,true,1.1102230246251565e-16,1.0023549251857138,1.002354925962586,-7.768721221879105e-10,-7.750470230882822e-10
21,1.023797264857349,1.0383759366273937,0.1,1.0,0.06245312379943141,true,5.451096240257174e-16,1.0023546201219307,1.0023546208411762,-7.192455520055319e-10,-7.175559087885253e-10
22,1.0237916475291047,1.038377288270119,0.1,1.0,0.06243639522576064,true,3.2612801348363973e-16,1.0023540701528095,1.0023540708592569,-7.064473450668629e-10,-7.047882178042031e-10
23,1.0237836231610868,1.0383792195082633,0.1,1.0,0.062412501574230096,true,4.745251270002786e-16,1.0023532845157777,1.0023532852774255,-7.616478558958306e-10,-7.598598117906918e-10
24,1.0237732744446837,1.038381710866302,0.1,1.0,0.06238168662746321,true,1.8735013540549517e-16,1.0023522713019668,1.0023522720464018,-7.444349581220422e-10,-7.426879948708998e-10
25,1.0237606734841695,1.03838474552063,0.1,1.0,0.062344167581601294,true,2.220446049250313e-16,1.002351037564804,1.0023510382544871,-6.89683199439628e-10,-6.88065515588171e-10
26,1.0237458826086305,1.0383883090962538,0.1,1.0,0.06230013840899293,true,1.3452143706011494e-16,1.0023495893996013,1.0023495902438544,-8.442531118646457e-10,-8.422740087853098e-10
27,1.0237289540281425,1.0383923897332052,0.1,1.0,0.06224974427622808,true,2.1802108161138543e-16,1.002347931909959,1.0023479326496416,-7.396825374428317e-10,-7.379499472430495e-10
28,1.0237099322383205,1.0383969775236879,0.1,1.0,0.06219313305739038,true,1.457167719820518e-16,1.0023460694432351,1.002346070311745,-8.685099306404709e-10,-8.664772007532795e-10
29,1.0236888523853114,1.0384020648820051,0.1,1.0,0.06213039904160354,true,1.3345443838550597e-16,1.0023440054304777,1.0023440061716613,-7.41183558972125e-10,-7.394504396816826e-10
30,1.0236657430386926,1.0384076458994393,0.1,1.0,0.0620616431761043,true,5.323869138444806e-16,1.0023417426579262,1.0023417435087292,-8.508029836207243e-10,-8.488152672056493e-10
31,1.0236406242198588,1.038413716799136,0.1,1.0,0.061986915435599865,true,4.440892098500626e-16,1.0023392830739424,1.002339283790395,-7.164526749647848e-10,-7.147805533222473e-10
32,1.0236135102434178,1.0384202752761136,0.1,1.0,0.06190627429727599,true,2.706168622523819e-16,1.002336628067194,1.002336628878651,-8.114571237172186e-10,-8.095655127174362e-10
33,1.0235844078769767,1.0384273209273536,0.1,1.0,0.061819737649748546,true,2.8053780558710245e-16,1.0023337782864157,1.0023337792004008,-9.139851098183271e-10,-9.118570950400473e-10
34,1.023553317434473,1.038434855001778,0.1,1.0,0.06172730340986593,true,1.3704315460216776e-16,1.0023307337474,1.0023307345100283,-7.626284048711796e-10,-7.608550070363485e-10
