t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
46,false,20.61589347667456,1.7064484905626953,0.08277344333843314,0.07643782423824136,0.030307007095733144,-0.061324027441310984,-0.03101702034557784,0.3145883156375382,-0.08744962201695346,-0.006411913010935688,0.22072678060964906,6.002143226879753e-16,0.011806482018599978,-0.05193735231536628,-0.0401308702967663,0.2046294718973998,-0.08074065764142077,-0.007320119720971374,0.11656869453500765,1.1191279318839945e-17
47,false,22.139592280639757,1.9176208171108775,0.08661500143287484,0.08071541453792755,0.03380013999482767,-0.06550085722665507,-0.031700717231827394,0.3417297120317698,-0.09215737138414364,-0.006699296867616444,0.24287304378000968,-9.71445146547012e-17,0.01252061519971895,-0.05132144104633574,-0.03880082584661679,0.20598162102761886,-0.07934645526839675,-0.007118925374677795,0.11951624038454434,6.033250565640242e-18
48,false,23.801881951433778,2.1527757483639887,0.09044561067719731,0.08495804256200165,0.03774229796774252,-0.070032865508002,-0.03229056754025948,0.3716153147857192,-0.09717162164135355,-0.00699819435099408,0.26744549879337154,-9.020562075079397e-16,0.013231878648710357,-0.050679549120951004,-0.037447670472240645,0.207209011107013,-0.07788752981719602,-0.006915768255574656,0.12240571303424233,-3.228662764674512e-17
49,false,25.617565726384328,2.414760342586932,0.09426189702715958,0.08916326861439766,0.04219873012191655,-0.07495503606694702,-0.03275630594503047,0.40456652906791285,-0.102516423165239,-0.007309205734701063,0.2947409001679728,9.853229343548264e-16,0.01394130681770382,-0.05001348275164725,-0.03607217593394342,0.20831530238699097,-0.07636893506036656,-0.006710922778283299,0.1252354445483411,8.464521446460862e-18
50,false,27.60327859645062,2.706795530743402,0.098060653240353,0.09332880778141776,0.04724510800274492,-0.08030626322514056,-0.03306115522239564,0.440947360770085,-0.10821805519215401,-0.007632962199065452,0.32509634337886556,3.0531133177191805e-16,0.014649978998109332,-0.049324935806572115,-0.034674956808462776,0.20930406115682765,-0.07479561753293135,-0.006504679034015733,0.12800376458988053,1.891629519459185e-17
51,false,29.777743587456676,3.0325303014782294,0.1018388210836642,0.09745250994176298,0.05296931428509345,-0.08612985565712551,-0.03316054137203206,0.48117073509645264,-0.11430527102822093,-0.007970151961371852,0.3588953121068599,-5.551115123125783e-16,0.015359013508152745,-0.048615496880286733,-0.03325648337213398,0.2101787540817312,-0.07317241929979937,-0.006297341468034839,0.13070899331389696,-1.1068584141292363e-18
52,false,32.162067992640765,3.3961045482931285,0.10559347580106528,0.10153234240291979,0.059473607880795046,-0.09247407439287116,-0.03300046651207611,0.5257057953655164,-0.12080958034670058,-0.00832150169184065,0.3965747133269752,-5.551115123125783e-17,0.01606956287764551,-0.04788665564736878,-0.03181709276972326,0.21094274296960006,-0.07150408115722558,-0.0060892266397313795,0.13334943517264305,-2.7507838518052018e-18
53,false,34.78008638175879,3.8022221742496,0.10932181514775541,0.10556637742271162,0.06687719800762877,-0.09939272210064574,-0.03251552409301697,0.5750864660057686,-0.12776553307622596,-0.00868778288005384,0.43863315004948883,-2.498001805406602e-16,0.016782809722882645,-0.04713980807797482,-0.030356998355092178,0.21159928204801748,-0.06979524508252423,-0.00588066118768941,0.1359233757778038,-9.725998782823361e-18
54,false,37.65875841747468,4.256235906373761,0.11302114263009672,0.10955277420885504,0.07531922527732608,-0.10694592368351505,-0.031626698406188966,0.6299213800419404,-0.13521111338240321,-0.00906983612918738,0.48564043053034983,2.0816681711721685e-16,0.01749996082882009,-0.046376263956822324,-0.028876303128002236,0.2121515159746438,-0.06805045822220898,-0.005671980415577516,0.13842907733685728,-3.454820768543677e-18
55,false,40.828631215338206,4.764246393420721,0.116688859058075,0.11348976948317711,0.08496245232028064,-0.11520085496369949,-0.030238402643418844,0.6909055303252858,-0.14318810066842147,-0.009468539966485334,0.538248889690379,-4.163336342344337e-16,0.018222243247983046,-0.04559725173738692,-0.027375008489403874,0.21260247919000716,-0.06627417541346613,-0.005463525803959991,0.140864777972581,-1.3383693713626442e-17
